SEF	0.0.1
ID	DWR_Tandil
Name	Tandil
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	11	10	1117	0	101232	Orig=759.3mm
1902	11	11	1117	0	101458	Orig=761mm
1902	11	12	1117	0	101432	Orig=760.8mm
1902	11	13	1117	0	101298	Orig=759.8mm
1902	11	14	1117	0	101138	Orig=758.6mm
1902	11	15	1117	0	101125	Orig=758.5mm
1902	11	16	1117	0	101858	Orig=764mm
1902	11	17	1117	0	101845	Orig=763.9mm
1902	11	18	1117	0	101245	Orig=759.4mm
1902	11	19	1117	0	101925	Orig=764.5mm
1902	11	23	1117	0	100858	Orig=756.5mm
1902	11	24	1117	0	101325	Orig=760mm
1902	11	25	1117	0	100872	Orig=756.6mm
1902	11	26	1117	0	101898	Orig=764.3mm
1902	11	27	1117	0	102685	Orig=770.2mm
1902	11	28	1117	0	101845	Orig=763.9mm
1902	11	29	1117	0	101338	Orig=760.1mm
1902	11	30	1117	0	101712	Orig=762.9mm
1902	12	1	1117	0	101672	Orig=762.6mm
1902	12	2	1117	0	101285	Orig=759.7mm
1902	12	3	1117	0	101538	Orig=761.6mm
1902	12	4	1117	0	101658	Orig=762.5mm
1902	12	5	1117	0	101605	Orig=762.1mm
1902	12	6	1117	0	100685	Orig=755.2mm
1902	12	8	1117	0	100765	Orig=755.8mm
1902	12	9	1117	0	101725	Orig=763mm
1902	12	10	1117	0	101005	Orig=757.6mm
1902	12	11	1117	0	100885	Orig=756.7mm
1902	12	12	1117	0	100325	Orig=752.5mm
1902	12	13	1117	0	101552	Orig=761.7mm
1902	12	14	1117	0	102485	Orig=768.7mm
1902	12	15	1117	0	102085	Orig=765.7mm
1902	12	16	1117	0	101418	Orig=760.7mm
1902	12	17	1117	0	101312	Orig=759.9mm
1902	12	18	1117	0	101432	Orig=760.8mm
1902	12	19	1117	0	100912	Orig=756.9mm
1902	12	20	1117	0	101592	Orig=762mm
1902	12	21	1117	0	101298	Orig=759.8mm
1902	12	22	1117	0	100418	Orig=753.2mm
1902	12	23	1117	0	100792	Orig=756mm
1902	12	25	1117	0	101272	Orig=759.6mm
1902	12	26	1117	0	101005	Orig=757.6mm
1902	12	27	1117	0	100912	Orig=756.9mm
1902	12	29	1117	0	101992	Orig=765mm
1902	12	30	1117	0	102792	Orig=771mm
