SEF	1.0.0
ID	DWR_Tinogasta
Name	Tinogasta
Lat	-28.066667
Lon	-67.566667
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086099
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	4	19	18	17	0	1010.1	Orig=757.6mm|orig.time=2pm
1902	4	20	18	17	0	1008.3	Orig=756.3mm|orig.time=2pm
1902	4	24	18	17	0	1006.9	Orig=755.2mm|orig.time=2pm
1902	4	26	18	17	0	1019.1	Orig=764.4mm|orig.time=2pm
1902	4	27	18	17	0	1016.2	Orig=762.2mm|orig.time=2pm
1902	4	29	18	17	0	1015	Orig=761.3mm|orig.time=2pm
1902	5	3	18	17	0	1006.1	Orig=754.6mm|orig.time=2pm
1902	5	4	18	17	0	1007.9	Orig=756mm|orig.time=2pm
1902	5	6	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	5	8	18	17	0	1008.7	Orig=756.6mm|orig.time=2pm
1902	5	16	18	17	0	1021.5	Orig=766.2mm|orig.time=2pm
1902	5	17	18	17	0	1017.4	Orig=763.1mm|orig.time=2pm
1902	5	18	18	17	0	1014.9	Orig=761.2mm|orig.time=2pm
1902	5	19	18	17	0	1013.9	Orig=760.5mm|orig.time=2pm
1902	5	20	18	17	0	1013.3	Orig=760mm|orig.time=2pm
1902	5	21	18	17	0	1010.6	Orig=758mm|orig.time=2pm
1902	5	22	18	17	0	1013.3	Orig=760mm|orig.time=2pm
1902	5	23	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	5	24	18	17	0	1006.9	Orig=755.2mm|orig.time=2pm
1902	5	25	18	17	0	1006.7	Orig=755.1mm|orig.time=2pm
1902	5	26	18	17	0	1007.4	Orig=755.6mm|orig.time=2pm
1902	5	27	18	17	0	1005.8	Orig=754.4mm|orig.time=2pm
1902	5	28	18	17	0	1015.1	Orig=761.4mm|orig.time=2pm
1902	5	29	18	17	0	1017.8	Orig=763.4mm|orig.time=2pm
1902	5	30	18	17	0	1010.2	Orig=757.7mm|orig.time=2pm
1902	5	31	18	17	0	1011.3	Orig=758.5mm|orig.time=2pm
1902	6	1	18	17	0	1007.8	Orig=755.9mm|orig.time=2pm
1902	6	2	18	17	0	1001.9	Orig=751.5mm|orig.time=2pm
1902	6	3	18	17	0	1009.5	Orig=757.2mm|orig.time=2pm
1902	6	4	18	17	0	1018.2	Orig=763.7mm|orig.time=2pm
1902	6	5	18	17	0	1020.3	Orig=765.3mm|orig.time=2pm
1902	6	6	18	17	0	1016.6	Orig=762.5mm|orig.time=2pm
1902	6	7	18	17	0	1021.4	Orig=766.1mm|orig.time=2pm
1902	6	8	18	17	0	1014.3	Orig=760.8mm|orig.time=2pm
1902	6	9	18	17	0	1018.7	Orig=764.1mm|orig.time=2pm
1902	6	10	18	17	0	1003.7	Orig=752.8mm|orig.time=2pm
1902	6	11	18	17	0	1007.4	Orig=755.6mm|orig.time=2pm
1902	6	12	18	17	0	1014.2	Orig=760.7mm|orig.time=2pm
1902	6	13	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	6	14	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
1902	6	16	18	17	0	1005.9	Orig=754.5mm|orig.time=2pm
1902	6	17	18	17	0	1004.3	Orig=753.3mm|orig.time=2pm
1902	6	18	18	17	0	1011.8	Orig=758.9mm|orig.time=2pm
1902	6	19	18	17	0	1015.8	Orig=761.9mm|orig.time=2pm
1902	6	20	18	17	0	1020.2	Orig=765.2mm|orig.time=2pm
1902	6	21	18	17	0	1015.8	Orig=761.9mm|orig.time=2pm
1902	6	22	18	17	0	1024.6	Orig=768.5mm|orig.time=2pm
1902	6	23	18	17	0	1022.4	Orig=766.9mm|orig.time=2pm
1902	6	24	18	17	0	1018.8	Orig=764.2mm|orig.time=2pm
1902	6	25	18	17	0	1012.3	Orig=759.3mm|orig.time=2pm
1902	6	26	18	17	0	1011.1	Orig=758.4mm|orig.time=2pm
1902	6	27	18	17	0	1014.6	Orig=761mm|orig.time=2pm
1902	6	28	18	17	0	1030.4	Orig=772.9mm|orig.time=2pm
1902	6	29	18	17	0	1016.4	Orig=762.4mm|orig.time=2pm
1902	6	30	18	17	0	1021	Orig=765.8mm|orig.time=2pm
1902	7	1	18	17	0	1017.2	Orig=763mm|orig.time=2pm
1902	7	2	18	17	0	1031.8	Orig=773.9mm|orig.time=2pm
1902	7	4	18	17	0	1019.4	Orig=764.6mm|orig.time=2pm
1902	7	5	18	17	0	1019.5	Orig=764.7mm|orig.time=2pm
1902	7	6	18	17	0	1026.4	Orig=769.9mm|orig.time=2pm
1902	7	7	18	17	0	1014.7	Orig=761.1mm|orig.time=2pm
