SEF	0.2.0
ID	DWR_Tres_Arroyos
Name	Tres Arroyos
Lat	-38.3775
Lon	-60.2752
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086147
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	11	3	11	17	0	101245	Orig=759.4mm|orig.time=7am
1902	11	4	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	11	5	11	17	0	101072	Orig=758.1mm|orig.time=7am
1902	11	6	11	17	0	100485	Orig=753.7mm|orig.time=7am
1902	11	7	11	17	0	100912	Orig=756.9mm|orig.time=7am
1902	11	8	11	17	0	100592	Orig=754.5mm|orig.time=7am
1902	11	10	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	11	11	11	17	0	101352	Orig=760.2mm|orig.time=7am
1902	11	12	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	11	13	11	17	0	101072	Orig=758.1mm|orig.time=7am
1902	11	14	11	17	0	100965	Orig=757.3mm|orig.time=7am
1902	11	15	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	11	16	11	17	0	101872	Orig=764.1mm|orig.time=7am
1902	11	17	11	17	0	101672	Orig=762.6mm|orig.time=7am
1902	11	18	11	17	0	101098	Orig=758.3mm|orig.time=7am
1902	11	20	11	17	0	101858	Orig=764mm|orig.time=7am
1902	11	21	11	17	0	100992	Orig=757.5mm|orig.time=7am
1902	11	22	11	17	0	100712	Orig=755.4mm|orig.time=7am
1902	11	23	11	17	0	101232	Orig=759.3mm|orig.time=7am
1902	11	24	11	17	0	100938	Orig=757.1mm|orig.time=7am
1902	11	25	11	17	0	100978	Orig=757.4mm|orig.time=7am
1902	11	26	11	17	0	102285	Orig=767.2mm|orig.time=7am
1902	11	27	11	17	0	102578	Orig=769.4mm|orig.time=7am
1902	11	28	11	17	0	101605	Orig=762.1mm|orig.time=7am
1902	11	29	11	17	0	101432	Orig=760.8mm|orig.time=7am
1902	11	30	11	17	0	101938	Orig=764.6mm|orig.time=7am
1902	12	1	11	17	0	101498	Orig=761.3mm|orig.time=7am
1902	12	2	11	17	0	101152	Orig=758.7mm|orig.time=7am
1902	12	3	11	17	0	101725	Orig=763mm|orig.time=7am
1902	12	4	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	12	5	11	17	0	101538	Orig=761.6mm|orig.time=7am
1902	12	6	11	17	0	100285	Orig=752.2mm|orig.time=7am
1902	12	7	11	17	0	100845	Orig=756.4mm|orig.time=7am
1902	12	8	11	17	0	101458	Orig=761mm|orig.time=7am
1902	12	9	11	17	0	101778	Orig=763.4mm|orig.time=7am
1902	12	10	11	17	0	101058	Orig=758mm|orig.time=7am
1902	12	11	11	17	0	101032	Orig=757.8mm|orig.time=7am
1902	12	12	11	17	0	100645	Orig=754.9mm|orig.time=7am
1902	12	13	11	17	0	101632	Orig=762.3mm|orig.time=7am
1902	12	14	11	17	0	102365	Orig=767.8mm|orig.time=7am
1902	12	15	11	17	0	101805	Orig=763.6mm|orig.time=7am
1902	12	16	11	17	0	101458	Orig=761mm|orig.time=7am
1902	12	17	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	12	18	11	17	0	101352	Orig=760.2mm|orig.time=7am
1902	12	19	11	17	0	100925	Orig=757mm|orig.time=7am
1902	12	20	11	17	0	101498	Orig=761.3mm|orig.time=7am
1902	12	21	11	17	0	101165	Orig=758.8mm|orig.time=7am
1902	12	22	11	17	0	100298	Orig=752.3mm|orig.time=7am
1902	12	23	11	17	0	100605	Orig=754.6mm|orig.time=7am
1902	12	25	11	17	0	101085	Orig=758.2mm|orig.time=7am
1902	12	26	11	17	0	100685	Orig=755.2mm|orig.time=7am
1902	12	27	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	12	28	11	17	0	101138	Orig=758.6mm|orig.time=7am
1902	12	29	11	17	0	102085	Orig=765.7mm|orig.time=7am
1902	12	30	11	17	0	102658	Orig=770mm|orig.time=7am
1902	12	31	11	17	0	102352	Orig=767.7mm|orig.time=7am
