SEF	0.0.1
ID	DWR_Tres_Arroyos
Name	Tres Arroyos
Lat	
Lon	
Alt	
Source	C3S_SouthAmerica
Repo	
Var	mslp
Units	Pa
Meta	PGC=F
Year	Month	Day	HHMM	TimeF	Value	Meta
1902	11	3	1117	0	101245	Orig=759.4mm
1902	11	4	1117	0	100885	Orig=756.7mm
1902	11	5	1117	0	101072	Orig=758.1mm
1902	11	6	1117	0	100485	Orig=753.7mm
1902	11	7	1117	0	100912	Orig=756.9mm
1902	11	8	1117	0	100592	Orig=754.5mm
1902	11	10	1117	0	101298	Orig=759.8mm
1902	11	11	1117	0	101352	Orig=760.2mm
1902	11	12	1117	0	101298	Orig=759.8mm
1902	11	13	1117	0	101072	Orig=758.1mm
1902	11	14	1117	0	100965	Orig=757.3mm
1902	11	15	1117	0	101298	Orig=759.8mm
1902	11	16	1117	0	101872	Orig=764.1mm
1902	11	17	1117	0	101672	Orig=762.6mm
1902	11	18	1117	0	101098	Orig=758.3mm
1902	11	20	1117	0	101858	Orig=764mm
1902	11	21	1117	0	100992	Orig=757.5mm
1902	11	22	1117	0	100712	Orig=755.4mm
1902	11	23	1117	0	101232	Orig=759.3mm
1902	11	24	1117	0	100938	Orig=757.1mm
1902	11	25	1117	0	100978	Orig=757.4mm
1902	11	26	1117	0	102285	Orig=767.2mm
1902	11	27	1117	0	102578	Orig=769.4mm
1902	11	28	1117	0	101605	Orig=762.1mm
1902	11	29	1117	0	101432	Orig=760.8mm
1902	11	30	1117	0	101938	Orig=764.6mm
1902	12	1	1117	0	101498	Orig=761.3mm
1902	12	2	1117	0	101152	Orig=758.7mm
1902	12	3	1117	0	101725	Orig=763mm
1902	12	4	1117	0	101405	Orig=760.6mm
1902	12	5	1117	0	101538	Orig=761.6mm
1902	12	6	1117	0	100285	Orig=752.2mm
1902	12	7	1117	0	100845	Orig=756.4mm
1902	12	8	1117	0	101458	Orig=761mm
1902	12	9	1117	0	101778	Orig=763.4mm
1902	12	10	1117	0	101058	Orig=758mm
1902	12	11	1117	0	101032	Orig=757.8mm
1902	12	12	1117	0	100645	Orig=754.9mm
1902	12	13	1117	0	101632	Orig=762.3mm
1902	12	14	1117	0	102365	Orig=767.8mm
1902	12	15	1117	0	101805	Orig=763.6mm
1902	12	16	1117	0	101458	Orig=761mm
1902	12	17	1117	0	100885	Orig=756.7mm
1902	12	18	1117	0	101352	Orig=760.2mm
1902	12	19	1117	0	100925	Orig=757mm
1902	12	20	1117	0	101498	Orig=761.3mm
1902	12	21	1117	0	101165	Orig=758.8mm
1902	12	22	1117	0	100298	Orig=752.3mm
1902	12	23	1117	0	100605	Orig=754.6mm
1902	12	25	1117	0	101085	Orig=758.2mm
1902	12	26	1117	0	100685	Orig=755.2mm
1902	12	27	1117	0	100885	Orig=756.7mm
1902	12	28	1117	0	101138	Orig=758.6mm
1902	12	29	1117	0	102085	Orig=765.7mm
1902	12	30	1117	0	102658	Orig=770mm
1902	12	31	1117	0	102352	Orig=767.7mm
