SEF	1.0.0
ID	DWR_V._Casilda
Name	V. Casilda
Lat	-33.0445
Lon	-61.165
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086195
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	8	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	9	10	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	9	11	11	17	0	1024.4	Orig=768.4mm|orig.time=7am
1902	9	12	11	17	0	1027.2	Orig=770.5mm|orig.time=7am
1902	9	13	11	17	0	1021.1	Orig=765.9mm|orig.time=7am
1902	9	14	11	17	0	1012.7	Orig=759.6mm|orig.time=7am
1902	9	15	11	17	0	1013.9	Orig=760.5mm|orig.time=7am
1902	9	16	11	17	0	1009.3	Orig=757mm|orig.time=7am
1902	9	17	11	17	0	1010.1	Orig=757.6mm|orig.time=7am
1902	9	18	11	17	0	998.7	Orig=749.1mm|orig.time=7am
1902	9	19	11	17	0	1016.8	Orig=762.7mm|orig.time=7am
1902	9	20	11	17	0	1017	Orig=762.8mm|orig.time=7am
1902	9	21	11	17	0	1020	Orig=765.1mm|orig.time=7am
1902	9	22	11	17	0	1019.9	Orig=765mm|orig.time=7am
1902	9	23	11	17	0	1018.3	Orig=763.8mm|orig.time=7am
1902	9	24	11	17	0	1031.2	Orig=773.5mm|orig.time=7am
1902	9	25	11	17	0	1027.4	Orig=770.6mm|orig.time=7am
1902	9	26	11	17	0	1016.3	Orig=762.3mm|orig.time=7am
1902	9	27	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	9	28	11	17	0	1013	Orig=759.8mm|orig.time=7am
1902	9	29	11	17	0	1018	Orig=763.6mm|orig.time=7am
1902	9	30	11	17	0	1025	Orig=768.8mm|orig.time=7am
1902	10	1	11	17	0	1036	Orig=777.1mm|orig.time=7am
1902	10	2	11	17	0	1033.1	Orig=774.9mm|orig.time=7am
1902	10	3	11	17	0	1030	Orig=772.6mm|orig.time=7am
1902	10	5	11	17	0	1020.4	Orig=765.4mm|orig.time=7am
1902	10	7	11	17	0	1022.8	Orig=767.2mm|orig.time=7am
1902	10	8	11	17	0	1027	Orig=770.3mm|orig.time=7am
1902	10	9	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	10	10	11	17	0	1015.6	Orig=761.8mm|orig.time=7am
1902	10	11	11	17	0	1017.4	Orig=763.1mm|orig.time=7am
1902	10	12	11	17	0	1021.5	Orig=766.2mm|orig.time=7am
1902	10	13	11	17	0	1022.8	Orig=767.2mm|orig.time=7am
1902	10	14	11	17	0	1017.9	Orig=763.5mm|orig.time=7am
1902	10	15	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	10	16	11	17	0	1013.8	Orig=760.4mm|orig.time=7am
1902	10	17	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	10	18	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	10	19	11	17	0	1011.4	Orig=758.6mm|orig.time=7am
1902	10	20	11	17	0	1011	Orig=758.3mm|orig.time=7am
1902	10	21	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	10	22	11	17	0	1005.1	Orig=753.9mm|orig.time=7am
1902	10	23	11	17	0	1004.2	Orig=753.2mm|orig.time=7am
1902	10	24	11	17	0	1003.5	Orig=752.7mm|orig.time=7am
1902	10	25	11	17	0	1010.9	Orig=758.2mm|orig.time=7am
1902	10	26	11	17	0	1004.9	Orig=753.7mm|orig.time=7am
1902	10	27	11	17	0	1020.4	Orig=765.4mm|orig.time=7am
1902	10	28	11	17	0	1018.3	Orig=763.8mm|orig.time=7am
1902	10	29	11	17	0	1014.9	Orig=761.2mm|orig.time=7am
1902	10	30	11	17	0	1019.4	Orig=764.6mm|orig.time=7am
1902	10	31	11	17	0	1021.6	Orig=766.3mm|orig.time=7am
1902	11	1	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	11	2	11	17	0	1019.6	Orig=764.8mm|orig.time=7am
1902	11	3	11	17	0	1015.5	Orig=761.7mm|orig.time=7am
1902	11	4	11	17	0	1014.3	Orig=760.8mm|orig.time=7am
1902	11	5	11	17	0	1010.7	Orig=758.1mm|orig.time=7am
1902	11	6	11	17	0	1001.7	Orig=751.3mm|orig.time=7am
1902	11	8	11	17	0	1002.1	Orig=751.6mm|orig.time=7am
1902	11	9	11	17	0	1009.1	Orig=756.9mm|orig.time=7am
1902	11	10	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	11	11	11	17	0	1016.7	Orig=762.6mm|orig.time=7am
1902	11	12	11	17	0	1012.5	Orig=759.4mm|orig.time=7am
1902	11	14	11	17	0	1009.4	Orig=757.1mm|orig.time=7am
1902	11	15	11	17	0	1013.4	Orig=760.1mm|orig.time=7am
1902	11	16	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	11	17	11	17	0	1018.7	Orig=764.1mm|orig.time=7am
1902	11	18	11	17	0	1011.1	Orig=758.4mm|orig.time=7am
1902	11	19	11	17	0	1012.9	Orig=759.7mm|orig.time=7am
1902	11	20	11	17	0	1014.6	Orig=761mm|orig.time=7am
1902	11	21	11	17	0	1013	Orig=759.8mm|orig.time=7am
