SEF	0.2.0
ID	DWR_Villa_Mrced.
Name	Villa Mercedes
Lat	-33.666667
Lon	-65.466667
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086243
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	2	21	18	17	0	101005	Orig=757.6mm|orig.time=2pm
1902	2	22	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	2	23	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	2	24	18	17	0	100792	Orig=756mm|orig.time=2pm
1902	2	25	18	17	0	100538	Orig=754.1mm|orig.time=2pm
1902	2	26	18	17	0	101325	Orig=760mm|orig.time=2pm
1902	2	27	18	17	0	101245	Orig=759.4mm|orig.time=2pm
1902	2	28	18	17	0	101045	Orig=757.9mm|orig.time=2pm
1902	3	1	18	17	0	100952	Orig=757.2mm|orig.time=2pm
1902	3	2	18	17	0	100618	Orig=754.7mm|orig.time=2pm
1902	3	3	18	17	0	100485	Orig=753.7mm|orig.time=2pm
1902	3	4	18	17	0	100698	Orig=755.3mm|orig.time=2pm
1902	3	5	18	17	0	101258	Orig=759.5mm|orig.time=2pm
1902	3	6	18	17	0	100938	Orig=757.1mm|orig.time=2pm
1902	3	7	18	17	0	101178	Orig=758.9mm|orig.time=2pm
1902	3	8	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	3	9	18	17	0	101192	Orig=759mm|orig.time=2pm
1902	3	10	18	17	0	101018	Orig=757.7mm|orig.time=2pm
1902	3	12	18	17	0	100778	Orig=755.9mm|orig.time=2pm
1902	3	13	18	17	0	101152	Orig=758.7mm|orig.time=2pm
1902	3	14	18	17	0	101405	Orig=760.6mm|orig.time=2pm
1902	3	15	18	17	0	100925	Orig=757mm|orig.time=2pm
1902	3	16	18	17	0	100618	Orig=754.7mm|orig.time=2pm
1902	3	19	18	17	0	101445	Orig=760.9mm|orig.time=2pm
1902	3	21	18	17	0	101018	Orig=757.7mm|orig.time=2pm
1902	3	22	18	17	0	101005	Orig=757.6mm|orig.time=2pm
1902	3	24	18	17	0	100592	Orig=754.5mm|orig.time=2pm
1902	3	25	18	17	0	100658	Orig=755mm|orig.time=2pm
1902	3	26	18	17	0	102285	Orig=767.2mm|orig.time=2pm
1902	3	27	18	17	0	101698	Orig=762.8mm|orig.time=2pm
1902	3	30	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	3	31	18	17	0	100432	Orig=753.3mm|orig.time=2pm
1902	4	2	18	17	0	101125	Orig=758.5mm|orig.time=2pm
1902	4	3	18	17	0	101658	Orig=762.5mm|orig.time=2pm
1902	4	4	18	17	0	101258	Orig=759.5mm|orig.time=2pm
1902	4	5	18	17	0	101712	Orig=762.9mm|orig.time=2pm
1902	4	6	18	17	0	101565	Orig=761.8mm|orig.time=2pm
1902	4	7	18	17	0	100992	Orig=757.5mm|orig.time=2pm
1902	4	8	18	17	0	101018	Orig=757.7mm|orig.time=2pm
1902	4	9	18	17	0	101432	Orig=760.8mm|orig.time=2pm
1902	4	10	18	17	0	100898	Orig=756.8mm|orig.time=2pm
1902	4	12	18	17	0	100818	Orig=756.2mm|orig.time=2pm
1902	4	13	18	17	0	101578	Orig=761.9mm|orig.time=2pm
1902	4	14	18	17	0	100778	Orig=755.9mm|orig.time=2pm
1902	4	16	18	17	0	100778	Orig=755.9mm|orig.time=2pm
1902	4	19	18	17	0	100858	Orig=756.5mm|orig.time=2pm
1902	4	20	18	17	0	100325	Orig=752.5mm|orig.time=2pm
1902	4	24	18	17	0	100605	Orig=754.6mm|orig.time=2pm
1902	4	26	18	17	0	101552	Orig=761.7mm|orig.time=2pm
1902	4	27	18	17	0	101392	Orig=760.5mm|orig.time=2pm
1902	4	29	18	17	0	101205	Orig=759.1mm|orig.time=2pm
1902	5	3	18	17	0	100445	Orig=753.4mm|orig.time=2pm
1902	5	8	18	17	0	101138	Orig=758.6mm|orig.time=2pm
1902	5	16	18	17	0	101818	Orig=763.7mm|orig.time=2pm
1902	5	18	18	17	0	101258	Orig=759.5mm|orig.time=2pm
1902	5	19	18	17	0	100845	Orig=756.4mm|orig.time=2pm
1902	5	20	18	17	0	100872	Orig=756.6mm|orig.time=2pm
1902	5	21	18	17	0	100765	Orig=755.8mm|orig.time=2pm
1902	5	22	18	17	0	100912	Orig=756.9mm|orig.time=2pm
1902	5	24	18	17	0	100698	Orig=755.3mm|orig.time=2pm
1902	5	25	18	17	0	100232	Orig=751.8mm|orig.time=2pm
1902	5	26	18	17	0	101498	Orig=761.3mm|orig.time=2pm
1902	5	27	18	17	0	101205	Orig=759.1mm|orig.time=2pm
1902	5	28	18	17	0	101725	Orig=763mm|orig.time=2pm
1902	5	29	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	5	30	18	17	0	100885	Orig=756.7mm|orig.time=2pm
1902	5	31	18	17	0	100978	Orig=757.4mm|orig.time=2pm
1902	6	1	18	17	0	100325	Orig=752.5mm|orig.time=2pm
1902	6	2	18	17	0	99592	Orig=747mm|orig.time=2pm
1902	6	3	18	17	0	101218	Orig=759.2mm|orig.time=2pm
1902	6	4	18	17	0	101752	Orig=763.2mm|orig.time=2pm
1902	6	5	18	17	0	101458	Orig=761mm|orig.time=2pm
1902	6	6	18	17	0	101338	Orig=760.1mm|orig.time=2pm
1902	6	7	18	17	0	101618	Orig=762.2mm|orig.time=2pm
1902	6	8	18	17	0	101232	Orig=759.3mm|orig.time=2pm
1902	6	9	18	17	0	101872	Orig=764.1mm|orig.time=2pm
1902	6	10	18	17	0	100218	Orig=751.7mm|orig.time=2pm
1902	6	11	18	17	0	101018	Orig=757.7mm|orig.time=2pm
1902	6	12	18	17	0	101058	Orig=758mm|orig.time=2pm
1902	6	13	18	17	0	101058	Orig=758mm|orig.time=2pm
1902	6	14	18	17	0	101058	Orig=758mm|orig.time=2pm
1902	6	15	18	17	0	100392	Orig=753mm|orig.time=2pm
1902	6	16	18	17	0	99965	Orig=749.8mm|orig.time=2pm
1902	6	17	18	17	0	100778	Orig=755.9mm|orig.time=2pm
1902	6	18	18	17	0	101272	Orig=759.6mm|orig.time=2pm
1902	6	19	18	17	0	101298	Orig=759.8mm|orig.time=2pm
1902	6	20	18	17	0	101818	Orig=763.7mm|orig.time=2pm
1902	6	21	18	17	0	101685	Orig=762.7mm|orig.time=2pm
1902	6	22	18	17	0	102058	Orig=765.5mm|orig.time=2pm
1902	6	23	18	17	0	101885	Orig=764.2mm|orig.time=2pm
1902	6	24	18	17	0	101352	Orig=760.2mm|orig.time=2pm
1902	6	25	18	17	0	100525	Orig=754mm|orig.time=2pm
1902	6	26	18	17	0	101112	Orig=758.4mm|orig.time=2pm
1902	6	27	18	17	0	101632	Orig=762.3mm|orig.time=2pm
1902	6	28	18	17	0	102738	Orig=770.6mm|orig.time=2pm
1902	6	29	18	17	0	101485	Orig=761.2mm|orig.time=2pm
1902	6	30	18	17	0	101578	Orig=761.9mm|orig.time=2pm
1902	7	1	18	17	0	101725	Orig=763mm|orig.time=2pm
1902	7	2	18	17	0	102445	Orig=768.4mm|orig.time=2pm
1902	7	4	18	17	0	101632	Orig=762.3mm|orig.time=2pm
1902	7	5	18	17	0	101872	Orig=764.1mm|orig.time=2pm
1902	7	6	18	17	0	101898	Orig=764.3mm|orig.time=2pm
1902	7	7	18	17	0	101005	Orig=757.6mm|orig.time=2pm
1902	7	8	18	17	0	99912	Orig=749.4mm|orig.time=2pm
1902	7	9	18	17	0	100432	Orig=753.3mm|orig.time=2pm
1902	7	10	18	17	0	99885	Orig=749.2mm|orig.time=2pm
1902	7	11	18	17	0	102165	Orig=766.3mm|orig.time=2pm
1902	7	12	18	17	0	102045	Orig=765.4mm|orig.time=2pm
1902	7	13	18	17	0	101832	Orig=763.8mm|orig.time=2pm
1902	7	14	18	17	0	100978	Orig=757.4mm|orig.time=2pm
1902	7	15	18	17	0	101485	Orig=761.2mm|orig.time=2pm
1902	7	16	18	17	0	101312	Orig=759.9mm|orig.time=2pm
1902	7	17	18	17	0	102285	Orig=767.2mm|orig.time=2pm
1902	7	18	18	17	0	102218	Orig=766.7mm|orig.time=2pm
1902	7	19	18	17	0	102285	Orig=767.2mm|orig.time=2pm
1902	7	20	18	17	0	102538	Orig=769.1mm|orig.time=2pm
1902	7	21	18	17	0	102045	Orig=765.4mm|orig.time=2pm
1902	7	23	18	17	0	100192	Orig=751.5mm|orig.time=2pm
1902	7	24	18	17	0	100885	Orig=756.7mm|orig.time=2pm
1902	7	25	18	17	0	100178	Orig=751.4mm|orig.time=2pm
1902	7	26	18	17	0	99525	Orig=746.5mm|orig.time=2pm
1902	7	27	18	17	0	102525	Orig=769mm|orig.time=2pm
1902	7	28	18	17	0	103512	Orig=776.4mm|orig.time=2pm
1902	7	29	18	17	0	102832	Orig=771.3mm|orig.time=2pm
1902	7	30	18	17	0	101258	Orig=759.5mm|orig.time=2pm
1902	7	31	18	17	0	100725	Orig=755.5mm|orig.time=2pm
1902	8	1	18	17	0	102205	Orig=766.6mm|orig.time=2pm
1902	8	2	18	17	0	102925	Orig=772mm|orig.time=2pm
1902	8	3	18	17	0	102325	Orig=767.5mm|orig.time=2pm
1902	8	4	18	17	0	101885	Orig=764.2mm|orig.time=2pm
1902	8	5	18	17	0	101658	Orig=762.5mm|orig.time=2pm
1902	8	7	18	17	0	100738	Orig=755.6mm|orig.time=2pm
1902	8	8	18	17	0	99778	Orig=748.4mm|orig.time=2pm
1902	8	9	18	17	0	100632	Orig=754.8mm|orig.time=2pm
1902	8	10	18	17	0	100738	Orig=755.6mm|orig.time=2pm
1902	8	11	18	17	0	102258	Orig=767mm|orig.time=2pm
1902	8	12	18	17	0	101525	Orig=761.5mm|orig.time=2pm
1902	8	13	18	17	0	101898	Orig=764.3mm|orig.time=2pm
1902	8	14	18	17	0	102498	Orig=768.8mm|orig.time=2pm
1902	8	15	18	17	0	102378	Orig=767.9mm|orig.time=2pm
1902	8	16	18	17	0	103112	Orig=773.4mm|orig.time=2pm
1902	8	17	18	17	0	103312	Orig=774.9mm|orig.time=2pm
1902	8	18	18	17	0	101978	Orig=764.9mm|orig.time=2pm
1902	8	19	18	17	0	100472	Orig=753.6mm|orig.time=2pm
1902	8	20	18	17	0	101605	Orig=762.1mm|orig.time=2pm
1902	8	21	18	17	0	100152	Orig=751.2mm|orig.time=2pm
1902	8	22	18	17	0	101912	Orig=764.4mm|orig.time=2pm
1902	8	23	18	17	0	102485	Orig=768.7mm|orig.time=2pm
1902	8	24	18	17	0	102578	Orig=769.4mm|orig.time=2pm
1902	8	25	18	17	0	102712	Orig=770.4mm|orig.time=2pm
1902	8	26	18	17	0	102712	Orig=770.4mm|orig.time=2pm
1902	8	27	18	17	0	102672	Orig=770.1mm|orig.time=2pm
1902	8	28	18	17	0	102418	Orig=768.2mm|orig.time=2pm
1902	8	29	18	17	0	101978	Orig=764.9mm|orig.time=2pm
1902	8	30	18	17	0	102432	Orig=768.3mm|orig.time=2pm
1902	8	31	18	17	0	101525	Orig=761.5mm|orig.time=2pm
