SEF	1.0.0
ID	DWR_Ytaybate
Name	Ytaybate
Lat	-27.43
Lon	-57.34
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086255
Vbl	mslp
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	7	12	18	17	0	1013.9	Orig=760.5mm|orig.time=2pm
1902	7	16	18	17	0	1009	Orig=756.8mm|orig.time=2pm
1902	7	21	18	17	0	1028.2	Orig=771.2mm|orig.time=2pm
1902	7	23	18	17	0	1009.8	Orig=757.4mm|orig.time=2pm
1902	7	24	18	17	0	1008.1	Orig=756.1mm|orig.time=2pm
1902	7	25	18	17	0	1008.9	Orig=756.7mm|orig.time=2pm
1902	7	26	18	17	0	1005.4	Orig=754.1mm|orig.time=2pm
1902	7	27	18	17	0	1007.5	Orig=755.7mm|orig.time=2pm
1902	7	28	18	17	0	1018.8	Orig=764.2mm|orig.time=2pm
1902	7	29	18	17	0	1024.8	Orig=768.7mm|orig.time=2pm
1902	7	30	18	17	0	1019.4	Orig=764.6mm|orig.time=2pm
1902	7	31	18	17	0	1012.5	Orig=759.4mm|orig.time=2pm
1902	8	1	18	17	0	1007.9	Orig=756mm|orig.time=2pm
1902	8	2	18	17	0	1022.8	Orig=767.2mm|orig.time=2pm
1902	8	3	18	17	0	1031.1	Orig=773.4mm|orig.time=2pm
1902	8	4	18	17	0	1022.6	Orig=767mm|orig.time=2pm
1902	8	5	18	17	0	1020.3	Orig=765.3mm|orig.time=2pm
1902	8	6	18	17	0	1017.1	Orig=762.9mm|orig.time=2pm
1902	8	7	18	17	0	1015.8	Orig=761.9mm|orig.time=2pm
1902	8	8	18	17	0	1006.9	Orig=755.2mm|orig.time=2pm
1902	8	9	18	17	0	1006.9	Orig=755.2mm|orig.time=2pm
1902	8	10	18	17	0	1007.4	Orig=755.6mm|orig.time=2pm
1902	8	11	18	17	0	1011.5	Orig=758.7mm|orig.time=2pm
1902	8	13	18	17	0	1013.7	Orig=760.3mm|orig.time=2pm
1902	8	14	18	17	0	1015.5	Orig=761.7mm|orig.time=2pm
1902	8	15	18	17	0	1018.3	Orig=763.8mm|orig.time=2pm
1902	8	16	18	17	0	1024.8	Orig=768.7mm|orig.time=2pm
1902	8	17	18	17	0	1033	Orig=774.8mm|orig.time=2pm
1902	8	18	18	17	0	1029	Orig=771.8mm|orig.time=2pm
1902	8	19	18	17	0	1012.1	Orig=759.1mm|orig.time=2pm
1902	8	20	18	17	0	1010.3	Orig=757.8mm|orig.time=2pm
1902	8	21	18	17	0	1001	Orig=750.8mm|orig.time=2pm
