SEF	0.2.0
ID	DWR_Zarate
Name	Zárate
Lat	-34.0958
Lon	-59.0242
Alt	NA
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086267
Vbl	mslp
Stat	point
Units	Pa
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1902	9	2	11	17	0	102245	Orig=766.9mm|orig.time=7am
1902	9	3	11	17	0	101952	Orig=764.7mm|orig.time=7am
1902	9	4	11	17	0	102632	Orig=769.8mm|orig.time=7am
1902	9	5	11	17	0	102112	Orig=765.9mm|orig.time=7am
1902	9	6	11	17	0	100805	Orig=756.1mm|orig.time=7am
1902	9	7	11	17	0	100645	Orig=754.9mm|orig.time=7am
1902	9	8	11	17	0	100632	Orig=754.8mm|orig.time=7am
1902	9	10	11	17	0	102085	Orig=765.7mm|orig.time=7am
1902	9	11	11	17	0	102525	Orig=769mm|orig.time=7am
1902	9	12	11	17	0	103018	Orig=772.7mm|orig.time=7am
1902	9	13	11	17	0	102352	Orig=767.7mm|orig.time=7am
1902	9	14	11	17	0	101432	Orig=760.8mm|orig.time=7am
1902	9	15	11	17	0	101445	Orig=760.9mm|orig.time=7am
1902	9	16	11	17	0	101218	Orig=759.2mm|orig.time=7am
1902	9	17	11	17	0	100938	Orig=757.1mm|orig.time=7am
1902	9	18	11	17	0	100365	Orig=752.8mm|orig.time=7am
1902	10	8	11	17	0	102832	Orig=771.3mm|orig.time=7am
1902	10	9	11	17	0	102365	Orig=767.8mm|orig.time=7am
1902	10	11	11	17	0	101658	Orig=762.5mm|orig.time=7am
1902	10	12	11	17	0	102232	Orig=766.8mm|orig.time=7am
1902	10	13	11	17	0	102525	Orig=769mm|orig.time=7am
1902	10	15	11	17	0	102045	Orig=765.4mm|orig.time=7am
1902	10	16	11	17	0	101792	Orig=763.5mm|orig.time=7am
1902	10	18	11	17	0	102072	Orig=765.6mm|orig.time=7am
1902	10	19	11	17	0	101725	Orig=763mm|orig.time=7am
1902	10	20	11	17	0	101365	Orig=760.3mm|orig.time=7am
1902	10	21	11	17	0	101312	Orig=759.9mm|orig.time=7am
1902	10	22	11	17	0	100818	Orig=756.2mm|orig.time=7am
1902	10	23	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	10	24	11	17	0	100725	Orig=755.5mm|orig.time=7am
1902	10	25	11	17	0	101205	Orig=759.1mm|orig.time=7am
1902	10	26	11	17	0	100752	Orig=755.7mm|orig.time=7am
1902	10	27	11	17	0	101898	Orig=764.3mm|orig.time=7am
1902	10	28	11	17	0	101832	Orig=763.8mm|orig.time=7am
1902	10	29	11	17	0	101352	Orig=760.2mm|orig.time=7am
1902	10	30	11	17	0	101725	Orig=763mm|orig.time=7am
1902	10	31	11	17	0	102325	Orig=767.5mm|orig.time=7am
1902	11	1	11	17	0	101272	Orig=759.6mm|orig.time=7am
1902	11	2	11	17	0	101898	Orig=764.3mm|orig.time=7am
1902	11	3	11	17	0	101618	Orig=762.2mm|orig.time=7am
1902	11	4	11	17	0	101352	Orig=760.2mm|orig.time=7am
1902	11	5	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	11	7	11	17	0	100632	Orig=754.8mm|orig.time=7am
1902	11	8	11	17	0	100072	Orig=750.6mm|orig.time=7am
1902	11	9	11	17	0	100698	Orig=755.3mm|orig.time=7am
1902	11	10	11	17	0	101778	Orig=763.4mm|orig.time=7am
1902	11	11	11	17	0	101912	Orig=764.4mm|orig.time=7am
1902	11	12	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	11	13	11	17	0	101378	Orig=760.4mm|orig.time=7am
1902	11	14	11	17	0	101138	Orig=758.6mm|orig.time=7am
1902	11	15	11	17	0	101232	Orig=759.3mm|orig.time=7am
1902	11	16	11	17	0	102032	Orig=765.3mm|orig.time=7am
1902	11	17	11	17	0	102098	Orig=765.8mm|orig.time=7am
1902	11	18	11	17	0	101432	Orig=760.8mm|orig.time=7am
1902	11	19	11	17	0	101818	Orig=763.7mm|orig.time=7am
1902	11	20	11	17	0	101725	Orig=763mm|orig.time=7am
1902	11	22	11	17	0	101192	Orig=759mm|orig.time=7am
1902	11	23	11	17	0	100685	Orig=755.2mm|orig.time=7am
1902	11	24	11	17	0	101365	Orig=760.3mm|orig.time=7am
1902	11	25	11	17	0	100792	Orig=756mm|orig.time=7am
1902	11	26	11	17	0	101712	Orig=762.9mm|orig.time=7am
1902	11	27	11	17	0	102778	Orig=770.9mm|orig.time=7am
1902	11	28	11	17	0	102232	Orig=766.8mm|orig.time=7am
1902	11	29	11	17	0	101645	Orig=762.4mm|orig.time=7am
1902	11	30	11	17	0	101832	Orig=763.8mm|orig.time=7am
1902	12	1	11	17	0	101632	Orig=762.3mm|orig.time=7am
1902	12	2	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	12	3	11	17	0	101378	Orig=760.4mm|orig.time=7am
1902	12	4	11	17	0	101485	Orig=761.2mm|orig.time=7am
1902	12	5	11	17	0	101632	Orig=762.3mm|orig.time=7am
1902	12	6	11	17	0	101045	Orig=757.9mm|orig.time=7am
1902	12	7	11	17	0	100885	Orig=756.7mm|orig.time=7am
1902	12	8	11	17	0	100952	Orig=757.2mm|orig.time=7am
1902	12	9	11	17	0	102098	Orig=765.8mm|orig.time=7am
1902	12	10	11	17	0	101365	Orig=760.3mm|orig.time=7am
1902	12	11	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	12	13	11	17	0	101312	Orig=759.9mm|orig.time=7am
1902	12	14	11	17	0	102392	Orig=768mm|orig.time=7am
1902	12	15	11	17	0	101978	Orig=764.9mm|orig.time=7am
1902	12	16	11	17	0	101485	Orig=761.2mm|orig.time=7am
1902	12	17	11	17	0	101418	Orig=760.7mm|orig.time=7am
1902	12	18	11	17	0	101178	Orig=758.9mm|orig.time=7am
1902	12	19	11	17	0	101298	Orig=759.8mm|orig.time=7am
1902	12	20	11	17	0	101685	Orig=762.7mm|orig.time=7am
1902	12	21	11	17	0	101165	Orig=758.8mm|orig.time=7am
1902	12	22	11	17	0	100592	Orig=754.5mm|orig.time=7am
1902	12	23	11	17	0	100978	Orig=757.4mm|orig.time=7am
1902	12	24	11	17	0	100018	Orig=750.2mm|orig.time=7am
1902	12	25	11	17	0	101512	Orig=761.4mm|orig.time=7am
1902	12	26	11	17	0	100965	Orig=757.3mm|orig.time=7am
1902	12	27	11	17	0	100978	Orig=757.4mm|orig.time=7am
1902	12	28	11	17	0	101405	Orig=760.6mm|orig.time=7am
1902	12	29	11	17	0	101618	Orig=762.2mm|orig.time=7am
1902	12	30	11	17	0	102592	Orig=769.5mm|orig.time=7am
1902	12	31	11	17	0	102525	Orig=769mm|orig.time=7am
