SEF	1.0.0
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	35.7
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086336
Vbl	Ts
Stat	point
Units	C
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1894	1	1	12	17	0	21.5	orig.time=0800
1894	1	2	12	17	0	21.6	orig.time=0800
1894	1	3	12	17	0	21.8	orig.time=0800
1894	1	4	12	17	0	21.8	orig.time=0800
1894	1	6	12	17	0	21.8	orig.time=0800
1894	1	8	12	17	0	22.2	orig.time=0800
1894	1	9	12	17	0	23	orig.time=0800
1894	1	11	12	17	0	22.6	orig.time=0800
1894	1	12	12	17	0	22.8	orig.time=0800
1894	1	13	12	17	0	22.8	orig.time=0800
1894	1	14	12	17	0	22.9	orig.time=0800
1894	1	15	12	17	0	22.8	orig.time=0800
1894	1	16	12	17	0	22.8	orig.time=0800
1894	1	17	12	17	0	23	orig.time=0800
1894	1	18	12	17	0	23	orig.time=0800
1894	1	19	12	17	0	22.8	orig.time=0800
1894	1	20	12	17	0	22.8	orig.time=0800
1894	1	21	12	17	0	22.8	orig.time=0800
1894	1	22	12	17	0	22.6	orig.time=0800
1894	1	23	12	17	0	22.6	orig.time=0800
1894	1	24	12	17	0	22.6	orig.time=0800
1894	1	25	12	17	0	22.6	orig.time=0800
1894	1	26	12	17	0	22.8	orig.time=0800
1894	1	27	12	17	0	23	orig.time=0800
1894	1	28	12	17	0	23	orig.time=0800
1894	1	29	12	17	0	22.8	orig.time=0800
1894	1	30	12	17	0	23	orig.time=0800
1894	1	31	12	17	0	23.2	orig.time=0800
1894	2	1	12	17	0	23.1	orig.time=0800
1894	2	2	12	17	0	23.2	orig.time=0800
1894	2	3	12	17	0	23.1	orig.time=0800
1894	2	4	12	17	0	23.2	orig.time=0800
1894	2	5	12	17	0	23.1	orig.time=0800
1894	2	6	12	17	0	23.2	orig.time=0800
1894	2	7	12	17	0	23.7	orig.time=0800
1894	2	8	12	17	0	23.3	orig.time=0800
1894	2	9	12	17	0	23.2	orig.time=0800
1894	2	10	12	17	0	23.2	orig.time=0800
1894	2	11	12	17	0	23.1	orig.time=0800
1894	2	13	12	17	0	23	orig.time=0800
1894	2	14	12	17	0	23	orig.time=0800
1894	2	15	12	17	0	23.6	orig.time=0800
1894	2	16	12	17	0	22.8	orig.time=0800
1894	2	17	12	17	0	22.8	orig.time=0800
1894	2	18	12	17	0	22.8	orig.time=0800
1894	2	19	12	17	0	22.8	orig.time=0800
1894	2	23	12	17	0	22.9	orig.time=0800
1894	2	24	12	17	0	23	orig.time=0800
1894	2	25	12	17	0	22.9	orig.time=0800
1894	2	27	12	17	0	22.9	orig.time=0800
1894	2	28	12	17	0	22.8	orig.time=0800
1894	3	1	12	17	0	22.6	orig.time=0800
1894	3	2	12	17	0	22.6	orig.time=0800
1894	3	3	12	17	0	22.6	orig.time=0800
1894	3	4	12	17	0	22.5	orig.time=0800
1894	3	5	12	17	0	22.3	orig.time=0800
1894	3	6	12	17	0	22.1	orig.time=0800
1894	3	7	12	17	0	22.1	orig.time=0800
1894	3	8	12	17	0	22	orig.time=0800
1894	3	9	12	17	0	21.8	orig.time=0800
1894	3	10	12	17	0	21.7	orig.time=0800
1894	3	11	12	17	0	21.6	orig.time=0800
1894	3	12	12	17	0	21.4	orig.time=0800
1894	3	15	12	17	0	21.1	orig.time=0800
1894	3	16	12	17	0	20.9	orig.time=0800
1894	3	17	12	17	0	20.8	orig.time=0800
1894	3	18	12	17	0	20.8	orig.time=0800
1894	3	19	12	17	0	20.6	orig.time=0800
1894	3	20	12	17	0	20.4	orig.time=0800
1894	3	21	12	17	0	20.3	orig.time=0800
1894	3	22	12	17	0	20.1	orig.time=0800
1894	3	23	12	17	0	20.1	orig.time=0800
1894	3	24	12	17	0	20.2	orig.time=0800
1894	3	25	12	17	0	20.1	orig.time=0800
1894	3	26	12	17	0	20.1	orig.time=0800
1894	3	27	12	17	0	20.1	orig.time=0800
1894	3	28	12	17	0	20.2	orig.time=0800
1894	3	29	12	17	0	20.1	orig.time=0800
1894	3	30	12	17	0	20.6	orig.time=0800
1894	3	31	12	17	0	19.9	orig.time=0800
1894	4	1	12	17	0	19.8	orig.time=0800
1894	4	2	12	17	0	19.7	orig.time=0800
1894	4	4	12	17	0	19.8	orig.time=0800
1894	4	5	12	17	0	19.7	orig.time=0800
1894	4	6	12	17	0	19.9	orig.time=0800
1894	4	7	12	17	0	19.9	orig.time=0800
1894	4	8	12	17	0	19.9	orig.time=0800
