SEF	0.0.1
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	36
Source	C3S_SouthAmerica
Repo	
Var	dd
Units	degree
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1886	3	18	1217	0	45	Orig=NE
1886	3	18	2217	0	45	Orig=NE
1886	3	19	1217	0	180	Orig=S
1886	3	19	2217	0	315	Orig=NW
1886	3	20	1217	0	180	Orig=S
1886	3	20	2217	0	45	Orig=ne
1886	3	21	1217	0	45	Orig=NE
1886	3	22	1217	0	90	Orig=E
1886	3	22	2217	0	45	Orig=NE
1886	3	23	1217	0	180	Orig=S
1886	3	23	2217	0	180	Orig=S
1886	3	24	1217	0	180	Orig=S
1886	3	24	2217	0	135	Orig=SE
1886	3	25	1217	0	315	Orig=NW
1886	3	25	2217	0	90	Orig=E
1886	3	26	1217	0	270	Orig=W
1886	3	26	2217	0	45	Orig=NE
1886	3	27	1217	0	45	Orig=NE
1886	3	27	2217	0	45	Orig=NE
1886	3	28	1217	0	90	Orig=E
1886	3	28	2217	0	90	Orig=E
1886	3	29	1217	0	45	Orig=NE
1886	3	30	1217	0	135	Orig=SE
1886	3	30	2217	0	180	Orig=S
1886	3	31	2217	0	180	Orig=S
1886	4	1	1217	0	0	Orig=N
1886	4	1	2217	0	0	Orig=N
1886	4	2	1217	0	0	Orig=N
1886	4	2	2217	0	0	Orig=N
1886	4	3	1217	0	270	Orig=W
1886	4	3	2217	0	45	Orig=NE
1886	4	4	1217	0	90	Orig=E
1886	4	4	2217	0	180	Orig=S
1886	4	5	1217	0	180	Orig=S
1886	4	5	2217	0	90	Orig=E
1886	4	6	1217	0	315	Orig=NW
1886	4	6	2217	0	225	Orig=SW
1886	4	7	1217	0	0	Orig=N
1886	4	7	2217	0	315	Orig=NW
1886	4	8	1217	0	45	Orig=NE
1886	4	8	2217	0	225	Orig=SW
1886	4	9	1217	0	180	Orig=S
1886	4	9	2217	0	180	Orig=S
1886	4	10	1217	0	225	Orig=SW
1886	4	10	2217	0	180	Orig=S
1886	4	11	1217	0	180	Orig=S
1886	4	11	2217	0	180	Orig=S
1886	4	12	1217	0	180	Orig=S
1886	4	12	2217	0	180	Orig=S
1886	4	13	1217	0	45	Orig=NE
1886	4	13	2217	0	45	Orig=NE
1886	4	14	1217	0	45	Orig=NE
1886	4	14	2217	0	90	Orig=E
1886	4	15	1217	0	180	Orig=S
1886	4	15	2217	0	90	Orig=E
1886	4	16	1217	0	225	Orig=SW
1886	4	16	2217	0	180	Orig=S
1886	4	17	1217	0	90	Orig=E
1886	4	17	2217	0	90	Orig=E
1886	4	18	1217	0	0	Orig=N
1886	4	19	1217	0	315	Orig=NW
1886	4	19	2217	0	315	Orig=NW
1886	4	20	1217	0	45	Orig=NE
1886	4	20	2217	0	315	Orig=NW
1886	4	21	1217	0	135	Orig=SE
1886	4	21	2217	0	135	Orig=SE
1886	4	22	1217	0	180	Orig=S
1886	4	22	2217	0	180	Orig=S
1886	4	23	1217	0	180	Orig=S
1886	4	23	2217	0	180	Orig=S
1886	4	24	1217	0	180	Orig=S
1886	4	24	2217	0	225	Orig=SW
1886	4	25	1217	0	135	Orig=SE
1886	4	25	2217	0	135	Orig=SE
1886	4	26	1217	0	315	Orig=NW
1886	4	26	2217	0	45	Orig=NE
1886	4	27	1217	0	45	Orig=NE
1886	4	28	1217	0	0	Orig=N
1886	4	28	2217	0	270	Orig=W
1886	4	29	1217	0	90	Orig=E
1886	4	29	2217	0	180	Orig=S
1886	4	30	1217	0	135	Orig=SE
1886	4	30	2217	0	90	Orig=E
1886	5	1	1217	0	0	Orig=N
1886	5	1	2217	0	0	Orig=N
1886	5	2	1217	0	0	Orig=N
1886	5	2	2217	0	315	Orig=NW
1886	5	3	1217	0	0	Orig=N
1886	5	3	2217	0	135	Orig=SE
1886	5	4	1217	0	135	Orig=SE
1886	5	4	2217	0	135	Orig=SE
1886	5	5	1217	0	225	Orig=SW
1886	5	5	2217	0	180	Orig=S
1886	5	6	1217	0	225	Orig=SW
1886	5	6	2217	0	135	Orig=SE
1886	5	7	1217	0	135	Orig=SE
1886	5	7	2217	0	180	Orig=S
1886	5	8	1217	0	180	Orig=S
1886	5	8	2217	0	225	Orig=SW
1886	5	9	1217	0	270	Orig=W
1886	5	9	2217	0	270	Orig=W
1886	5	10	1217	0	225	Orig=SW
1886	5	10	2217	0	225	Orig=SW
1886	5	11	1217	0	225	Orig=SW
1886	5	11	2217	0	225	Orig=SW
1886	5	12	1217	0	225	Orig=SW
1886	5	12	2217	0	225	Orig=SW
1886	5	13	1217	0	225	Orig=SW
1886	5	13	2217	0	225	Orig=SW
1886	5	14	1217	0	225	Orig=SW
1886	5	14	2217	0	135	Orig=SE
1886	5	15	1217	0	315	Orig=NW
1886	5	15	2217	0	90	Orig=E
1886	5	16	1217	0	135	Orig=SE
1886	5	16	2217	0	135	Orig=SE
1886	5	17	2217	0	225	Orig=SW
1886	5	18	1217	0	270	Orig=W
1886	5	18	2217	0	315	Orig=NW
1886	5	19	1217	0	90	Orig=E
1886	5	19	2217	0	315	Orig=NW
1886	5	20	1217	0	135	Orig=SE
1886	5	20	2217	0	135	Orig=SE
1886	5	21	1217	0	90	Orig=E
1886	5	21	2217	0	135	Orig=SE
1886	5	22	1217	0	135	Orig=SE
1886	5	22	2217	0	180	Orig=S
1886	5	23	1217	0	225	Orig=SW
1886	5	23	2217	0	270	Orig=W
1886	5	24	1217	0	270	Orig=W
1886	5	24	2217	0	0	Orig=N
1886	5	25	1217	0	315	Orig=NW
1886	5	25	2217	0	0	Orig=N
1886	5	26	1217	0	315	Orig=NW
1886	5	26	2217	0	315	Orig=NW
1886	5	27	2217	0	45	Orig=NE
1886	5	28	1217	0	45	Orig=NE
1886	5	28	2217	0	45	Orig=NE
1886	5	29	1217	0	45	Orig=NE
1886	5	29	2217	0	90	Orig=E
1886	5	30	1217	0	180	Orig=S
1886	5	30	2217	0	135	Orig=SE
1886	5	31	1217	0	225	Orig=SW
1886	5	31	2217	0	270	Orig=W
1886	6	1	1217	0	270	Orig=W
1886	6	1	2217	0	270	Orig=W
1886	6	2	1217	0	270	Orig=W
1886	6	2	2217	0	270	Orig=W
1886	6	3	1217	0	270	Orig=W
1886	6	3	2217	0	315	Orig=NW
1886	6	4	1217	0	45	Orig=NE
1886	6	4	2217	0	45	Orig=NE
1886	6	5	1217	0	90	Orig=E
1886	6	5	2217	0	180	Orig=S
1886	6	6	1217	0	180	Orig=S
1886	6	6	2217	0	180	Orig=S
1886	6	7	1217	0	180	Orig=S
1886	6	7	2217	0	180	Orig=S
1886	6	8	1217	0	225	Orig=SW
1886	6	8	2217	0	270	Orig=W
1886	6	9	1217	0	270	Orig=W
1886	6	9	2217	0	225	Orig=SW
1886	6	10	1217	0	270	Orig=W
1886	6	10	2217	0	225	Orig=SW
1886	6	11	1217	0	135	Orig=SE
1886	6	11	2217	0	90	Orig=E
1886	6	12	1217	0	90	Orig=E
1886	6	12	2217	0	90	Orig=E
1886	6	13	1217	0	135	Orig=SE
1886	6	13	2217	0	180	Orig=S
1886	6	14	1217	0	270	Orig=W
1886	6	14	2217	0	270	Orig=W
1886	6	15	1217	0	270	Orig=W
1886	6	15	2217	0	270	Orig=W
1886	6	16	1217	0	225	Orig=SW
1886	6	16	2217	0	270	Orig=W
1886	6	17	1217	0	225	Orig=SW
1886	6	17	2217	0	180	Orig=S
1886	6	18	1217	0	180	Orig=S
1886	6	18	2217	0	180	Orig=S
1886	6	19	2217	0	45	Orig=NE
1886	6	20	1217	0	270	Orig=W
1886	6	20	2217	0	225	Orig=SW
1886	6	21	1217	0	225	Orig=SW
1886	6	21	2217	0	225	Orig=SW
1886	6	22	1217	0	270	Orig=W
1886	6	22	2217	0	45	Orig=NE
1886	6	23	1217	0	45	Orig=NE
1886	6	23	2217	0	45	Orig=NE
1886	6	24	1217	0	0	Orig=N
1886	6	24	2217	0	45	Orig=NE
1886	6	25	1217	0	45	Orig=NE
1886	6	25	2217	0	45	Orig=NE
1886	6	26	1217	0	45	Orig=NE
1886	6	26	2217	0	135	Orig=SE
1886	6	27	1217	0	135	Orig=SE
1886	6	27	2217	0	135	Orig=SE
1886	6	28	1217	0	180	Orig=S
1886	6	28	2217	0	180	Orig=S
1886	6	29	1217	0	180	Orig=S
1886	6	29	2217	0	180	Orig=S
1886	6	30	1217	0	135	Orig=SE
1886	6	30	2217	0	180	Orig=S
1886	7	1	1217	0	270	Orig=W
1886	7	1	2217	0	270	Orig=W
1886	7	2	1217	0	270	Orig=W
1886	7	2	2217	0	180	Orig=S
1886	7	3	1217	0	225	Orig=SW
1886	7	3	2217	0	270	Orig=W
1886	7	4	1217	0	315	Orig=NW
1886	7	4	2217	0	0	Orig=N
1886	7	5	1217	0	315	Orig=NW
1886	7	5	2217	0	0	Orig=N
1886	7	6	1217	0	270	Orig=W
1886	7	6	2217	0	180	Orig=S
1886	7	7	1217	0	135	Orig=SE
1886	7	7	2217	0	0	Orig=N
1886	7	8	1217	0	225	Orig=SW
1886	7	8	2217	0	225	Orig=SW
1886	7	11	1217	0	0	Orig=N
1886	7	11	2217	0	0	Orig=N
1886	7	12	1217	0	270	Orig=W
1886	7	12	2217	0	270	Orig=W
1886	7	13	1217	0	270	Orig=W
1886	7	13	2217	0	180	Orig=S
1886	7	14	1217	0	270	Orig=W
1886	7	14	2217	0	45	Orig=NE
1886	7	15	1217	0	45	Orig=NE
1886	7	15	2217	0	90	Orig=E
1886	7	16	1217	0	135	Orig=SE
1886	7	16	2217	0	90	Orig=E
1886	7	17	1217	0	45	Orig=NE
1886	7	17	2217	0	90	Orig=E
1886	7	18	1217	0	90	Orig=E
1886	7	18	2217	0	45	Orig=NE
1886	7	19	1217	0	135	Orig=SE
1886	7	19	2217	0	0	Orig=N
1886	7	20	1217	0	135	Orig=SE
1886	7	20	2217	0	315	Orig=NW
1886	7	21	1217	0	225	Orig=SW
1886	7	21	2217	0	180	Orig=S
1886	7	22	1217	0	180	Orig=S
1886	7	22	2217	0	90	Orig=E
1886	7	23	1217	0	90	Orig=E
1886	7	24	1217	0	90	Orig=E
1886	7	25	1217	0	225	Orig=SW
1886	7	25	2217	0	180	Orig=S
1886	7	26	1217	0	135	Orig=SE
1886	7	26	2217	0	135	Orig=SE
1886	7	27	1217	0	90	Orig=E
1886	7	27	2217	0	0	Orig=N
1886	7	28	1217	0	180	Orig=S
1886	7	28	2217	0	180	Orig=S
1886	7	29	1217	0	180	Orig=S
1886	7	29	2217	0	180	Orig=S
1886	7	30	1217	0	135	Orig=SE
1886	7	30	2217	0	90	Orig=E
1886	7	31	1217	0	90	Orig=E
1886	7	31	2217	0	45	Orig=NE
1886	7	NA	1217	0	315	Orig=NW
1886	7	NA	1217	0	270	Orig=W
1886	7	NA	2217	0	270	Orig=W
1886	7	NA	2217	0	225	Orig=SW
1886	8	1	1217	0	225	Orig=SW
1886	8	1	2217	0	270	Orig=W
1886	8	2	1217	0	270	Orig=W
1886	8	2	2217	0	270	Orig=W
1886	8	3	1217	0	225	Orig=SW
1886	8	3	2217	0	270	Orig=W
1886	8	4	1217	0	270	Orig=W
1886	8	4	2217	0	135	Orig=SE
1886	8	5	1217	0	90	Orig=E
1886	8	5	2217	0	90	Orig=E
1886	8	7	1217	0	90	Orig=E
1886	8	7	2217	0	90	Orig=E
1886	8	8	1217	0	90	Orig=E
1886	8	8	2217	0	45	Orig=NE
1886	8	9	1217	0	90	Orig=E
1886	8	9	2217	0	180	Orig=S
1886	8	10	1217	0	135	Orig=SE
1886	8	10	2217	0	270	Orig=W
1886	8	11	1217	0	270	Orig=W
1886	8	11	2217	0	0	Orig=N
1886	8	12	1217	0	135	Orig=SE
1886	8	12	2217	0	180	Orig=S
1886	8	13	1217	0	180	Orig=S
1886	8	13	2217	0	270	Orig=W
1886	8	14	1217	0	225	Orig=SW
1886	8	14	2217	0	180	Orig=S
1886	8	15	1217	0	180	Orig=S
1886	8	15	2217	0	0	Orig=N
1886	8	16	1217	0	0	Orig=N
1886	8	16	2217	0	0	Orig=N
1886	8	17	1217	0	270	Orig=W
1886	8	17	2217	0	225	Orig=SW
1886	8	18	1217	0	225	Orig=SW
1886	8	18	2217	0	135	Orig=SE
1886	8	19	1217	0	0	Orig=N
1886	8	20	1217	0	180	Orig=S
1886	8	20	2217	0	180	Orig=S
1886	8	21	1217	0	180	Orig=S
1886	8	21	2217	0	180	Orig=S
1886	8	22	1217	0	135	Orig=SE
1886	8	22	2217	0	270	Orig=W
1886	8	23	1217	0	0	Orig=N
1886	8	23	2217	0	0	Orig=N
1886	8	24	1217	0	0	Orig=N
1886	8	24	2217	0	270	Orig=W
1886	8	25	1217	0	0	Orig=N
1886	8	25	2217	0	315	Orig=NW
1886	8	28	2217	0	270	Orig=W
1886	8	29	1217	0	270	Orig=W
1886	8	29	2217	0	270	Orig=W
1886	8	30	1217	0	90	Orig=E
1886	8	30	2217	0	0	Orig=N
1886	8	31	1217	0	0	Orig=N
1886	8	31	2217	0	45	Orig=NE
1886	8	NA	1217	0	90	Orig=E
1886	8	NA	2217	0	90	Orig=E
1886	9	1	1217	0	45	Orig=NE
1886	9	10	1217	0	270	Orig=W
1886	9	10	2217	0	180	Orig=S
1886	9	11	1217	0	180	Orig=S
1886	9	11	2217	0	180	Orig=S
1886	9	12	1217	0	180	Orig=S
1886	9	12	2217	0	180	Orig=S
1886	9	13	1217	0	0	Orig=N
1886	9	13	2217	0	0	Orig=N
1886	9	14	1217	0	0	Orig=N
1886	9	14	2217	0	135	Orig=SE
1886	9	15	1217	0	135	Orig=SE
1886	9	15	2217	0	90	Orig=E
1886	9	16	1217	0	135	Orig=SE
1886	9	16	2217	0	135	Orig=SE
1886	9	23	1217	0	45	Orig=NE
1886	9	23	2217	0	45	Orig=NE
1886	9	24	1217	0	135	Orig=SE
1886	9	24	2217	0	135	Orig=SE
1886	9	25	1217	0	90	Orig=E
1886	9	26	1217	0	135	Orig=SE
1886	9	27	1217	0	90	Orig=E
1886	9	27	2217	0	135	Orig=SE
1886	9	28	1217	0	135	Orig=SE
1886	9	28	2217	0	135	Orig=SE
1886	9	30	1217	0	135	Orig=SE
1886	9	30	2217	0	180	Orig=S
1886	10	2	1217	0	135	Orig=SE
1886	10	5	1217	0	225	Orig=SW
1886	10	5	2217	0	270	Orig=W
1886	10	6	1217	0	0	Orig=N
1886	10	6	2217	0	0	Orig=N
1886	10	7	1217	0	0	Orig=N
1886	10	8	1217	0	90	Orig=E
1886	10	8	2217	0	90	Orig=E
1886	10	10	1217	0	90	Orig=E
1886	10	10	2217	0	45	Orig=NE
1886	10	11	1217	0	0	Orig=N
1886	10	11	2217	0	90	Orig=E
1886	10	12	1217	0	0	Orig=N
1886	10	12	2217	0	90	Orig=E
1886	10	13	1217	0	90	Orig=E
1886	10	13	2217	0	135	Orig=SE
1886	10	14	1217	0	180	Orig=S
1886	10	14	2217	0	180	Orig=S
1886	10	15	1217	0	45	Orig=NE
1886	10	15	2217	0	0	Orig=N
1886	10	16	1217	0	90	Orig=E
1886	10	16	2217	0	0	Orig=N
1886	10	17	1217	0	0	Orig=N
1886	10	17	2217	0	0	Orig=N
1886	10	18	1217	0	135	Orig=SE
1886	10	18	2217	0	135	Orig=SE
1886	10	19	1217	0	135	Orig=SE
1886	10	19	2217	0	90	Orig=E
1886	10	20	1217	0	45	Orig=NE
1886	10	20	2217	0	90	Orig=E
1886	10	21	1217	0	270	Orig=W
1886	10	21	2217	0	270	Orig=W
1886	10	22	1217	0	45	Orig=NE
1886	10	22	2217	0	0	Orig=N
1886	10	23	1217	0	135	Orig=SE
1886	10	23	2217	0	135	Orig=SE
1886	10	24	1217	0	225	Orig=SW
1886	10	24	2217	0	180	Orig=S
1886	10	25	1217	0	315	Orig=NW
1886	10	25	2217	0	0	Orig=N
1886	10	26	1217	0	315	Orig=NW
