SEF	1.0.0
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	35.7
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086330
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=Y|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1886	3	18	12	17	0	1005.1	Orig=758.20mm|atb=24.8C|orig.time=0800
1886	3	18	22	17	0	998.5	Orig=753.30mm|atb=25.6C|orig.time=1800
1886	3	19	12	17	0	1006.3	Orig=758.60mm|atb=21.5C|orig.time=0800
1886	3	19	22	17	0	1005.4	Orig=758.15mm|atb=22.9C|orig.time=1800
1886	3	20	12	17	0	1010	Orig=761.00mm|atb=18.6C|orig.time=0800
1886	3	20	22	17	0	1008.6	Orig=760.50mm|atb=22.5C|orig.time=1800
1886	3	21	12	17	0	1010.4	Orig=761.60mm|atb=20.6C|orig.time=0800
1886	3	21	22	17	0	1010.1	Orig=761.30mm|atb=20.1C|orig.time=1800
1886	3	22	12	17	0	1012	Orig=762.65mm|atb=19.7C|orig.time=0800
1886	3	22	22	17	0	1012.5	Orig=763.20mm|atb=21.1C|orig.time=1800
1886	3	23	12	17	0	1015.6	Orig=765.45mm|atb=20.4C|orig.time=0800
1886	3	23	22	17	0	1014.4	Orig=764.65mm|atb=20.8C|orig.time=1800
1886	3	24	12	17	0	1019.3	Orig=768.00mm|atb=18.3C|orig.time=0800
1886	3	24	22	17	0	1017.4	Orig=766.95mm|atb=21.2C|orig.time=1800
1886	3	25	12	17	0	1020.8	Orig=769.40mm|atb=20.6C|orig.time=0800
1886	3	25	22	17	0	1017.1	Orig=766.85mm|atb=22.3C|orig.time=1800
1886	3	26	12	17	0	1016.8	Orig=766.35mm|atb=20.3C|orig.time=0800
1886	3	26	22	17	0	1013.3	Orig=764.05mm|atb=22.8C|orig.time=1800
1886	3	27	12	17	0	1013.6	Orig=764.00mm|atb=20.5C|orig.time=0800
1886	3	27	22	17	0	1012.5	Orig=763.50mm|atb=22.8C|orig.time=1800
1886	3	28	12	17	0	1014.7	Orig=765.00mm|atb=22.1C|orig.time=0800
1886	3	28	22	17	0	1012.3	Orig=763.35mm|atb=22.9C|orig.time=1800
1886	3	29	12	17	0	1011	Orig=762.25mm|atb=22.3C|orig.time=0800
