SEF	0.2.0
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	35.7
Source	C3S_SouthAmerica
Link	https://data-rescue.copernicus-climate.eu/lso/1086335
Vbl	ss
Stat	sum
Units	hours
Meta	Data policy=GNU GPL v3.0
Year	Month	Day	Hour	Minute	Period	Value	Meta
1889	1	2	1	17	p1day	0	orig.time=2100
1889	1	3	1	17	p1day	13.5	orig.time=2100
1889	1	4	1	17	p1day	11.5	orig.time=2100
1889	1	5	1	17	p1day	0	orig.time=2100
1889	1	6	1	17	p1day	1.4	orig.time=2100
1889	1	7	1	17	p1day	11	orig.time=2100
1889	1	8	1	17	p1day	7.45	orig.time=2100
1889	1	9	1	17	p1day	2.1	orig.time=2100
1889	1	10	1	17	p1day	0	orig.time=2100
1889	1	11	1	17	p1day	5.25	orig.time=2100
1889	1	12	1	17	p1day	12.55	orig.time=2100
1889	1	13	1	17	p1day	12.3	orig.time=2100
1889	1	14	1	17	p1day	1.25	orig.time=2100
1889	1	15	1	17	p1day	11	orig.time=2100
1889	1	16	1	17	p1day	12	orig.time=2100
1889	1	17	1	17	p1day	8.45	orig.time=2100
1889	1	18	1	17	p1day	0	orig.time=2100
1889	1	19	1	17	p1day	10.15	orig.time=2100
1889	1	20	1	17	p1day	2.4	orig.time=2100
1889	1	21	1	17	p1day	5.1	orig.time=2100
1889	1	22	1	17	p1day	7	orig.time=2100
1889	1	23	1	17	p1day	1.5	orig.time=2100
1889	1	24	1	17	p1day	0.5	orig.time=2100
1889	1	25	1	17	p1day	13	orig.time=2100
1889	1	26	1	17	p1day	10.35	orig.time=2100
1889	1	27	1	17	p1day	0	orig.time=2100
1889	1	28	1	17	p1day	0	orig.time=2100
1889	1	29	1	17	p1day	7.1	orig.time=2100
1889	1	30	1	17	p1day	5.5	orig.time=2100
1889	1	31	1	17	p1day	8.5	orig.time=2100
1889	2	1	1	17	p1day	12.15	orig.time=2100
1889	2	2	1	17	p1day	10.25	orig.time=2100
1889	2	3	1	17	p1day	7.2	orig.time=2100
1889	2	4	1	17	p1day	13	orig.time=2100
1889	2	5	1	17	p1day	6.1	orig.time=2100
1889	2	6	1	17	p1day	0	orig.time=2100
1889	2	7	1	17	p1day	0	orig.time=2100
1889	2	8	1	17	p1day	7.2	orig.time=2100
1889	2	9	1	17	p1day	12.5	orig.time=2100
1889	2	10	1	17	p1day	12.5	orig.time=2100
1889	2	11	1	17	p1day	10.55	orig.time=2100
1889	2	12	1	17	p1day	6.1	orig.time=2100
1889	2	13	1	17	p1day	10.2	orig.time=2100
1889	2	14	1	17	p1day	12.45	orig.time=2100
1889	2	15	1	17	p1day	11.1	orig.time=2100
1889	2	16	1	17	p1day	0.1	orig.time=2100
1889	2	17	1	17	p1day	1.45	orig.time=2100
1889	2	18	1	17	p1day	12.25	orig.time=2100
1889	2	19	1	17	p1day	0.25	orig.time=2100
1889	2	20	1	17	p1day	1.3	orig.time=2100
1889	2	21	1	17	p1day	0	orig.time=2100
1889	2	22	1	17	p1day	10.35	orig.time=2100
1889	2	23	1	17	p1day	10.2	orig.time=2100
