SEF	0.0.1
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	36
Source	C3S_SouthAmerica
Repo	
Var	ss
Units	hours
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1889	1	2	0117	12	0	
1889	1	3	0117	12	13.5	
1889	1	4	0117	12	11.5	
1889	1	5	0117	12	0	
1889	1	6	0117	12	1.4	
1889	1	7	0117	12	11	
1889	1	8	0117	12	7.45	
1889	1	9	0117	12	2.1	
1889	1	10	0117	12	0	
1889	1	11	0117	12	5.25	
1889	1	12	0117	12	12.55	
1889	1	13	0117	12	12.3	
1889	1	14	0117	12	1.25	
1889	1	15	0117	12	11	
1889	1	16	0117	12	12	
1889	1	17	0117	12	8.45	
1889	1	18	0117	12	0	
1889	1	19	0117	12	10.15	
1889	1	20	0117	12	2.4	
1889	1	21	0117	12	5.1	
1889	1	22	0117	12	7	
1889	1	23	0117	12	1.5	
1889	1	24	0117	12	0.5	
1889	1	25	0117	12	13	
1889	1	26	0117	12	10.35	
1889	1	27	0117	12	0	
1889	1	28	0117	12	0	
1889	1	29	0117	12	7.1	
1889	1	30	0117	12	5.5	
1889	1	31	0117	12	8.5	
1889	2	1	0117	12	12.15	
1889	2	2	0117	12	10.25	
1889	2	3	0117	12	7.2	
1889	2	4	0117	12	13	
1889	2	5	0117	12	6.1	
1889	2	6	0117	12	0	
1889	2	7	0117	12	0	
1889	2	8	0117	12	7.2	
1889	2	9	0117	12	12.5	
1889	2	10	0117	12	12.5	
1889	2	11	0117	12	10.55	
1889	2	12	0117	12	6.1	
1889	2	13	0117	12	10.2	
1889	2	14	0117	12	12.45	
1889	2	15	0117	12	11.1	
1889	2	16	0117	12	0.1	
1889	2	17	0117	12	1.45	
1889	2	18	0117	12	12.25	
1889	2	19	0117	12	0.25	
1889	2	20	0117	12	1.3	
1889	2	21	0117	12	0	
1889	2	22	0117	12	10.35	
1889	2	23	0117	12	10.2	
1889	2	24	0117	12	8.15	
1889	2	25	0117	12	6.3	
1889	2	26	0117	12	9.45	
1889	2	27	0117	12	0	
1889	2	28	0117	12	4	
1889	3	1	0117	12	10.5	
1889	3	2	0117	12	12.1	
1889	3	3	0117	12	8	
1889	3	4	0117	12	2.5	
1889	3	5	0117	12	1.1	
1889	3	6	0117	12	2.35	
1889	3	7	0117	12	9.1	
1889	3	8	0117	12	11	
1889	3	9	0117	12	10.25	
1889	3	10	0117	12	0.25	
1889	3	11	0117	12	12	
1889	3	12	0117	12	11.5	
1889	3	13	0117	12	11	
1889	3	14	0117	12	10.5	
1889	3	15	0117	12	11.3	
1889	3	16	0117	12	10.3	
1889	3	17	0117	12	3.3	
1889	3	18	0117	12	8.5	
1889	3	19	0117	12	11.1	
1889	3	20	0117	12	10.4	
1889	3	21	0117	12	11	
1889	3	22	0117	12	10.4	
1889	3	23	0117	12	10	
1889	3	24	0117	12	9.4	
1889	3	25	0117	12	0.1	
1889	3	26	0117	12	4.3	
1889	3	27	0117	12	5	
1889	3	28	0117	12	6	
1889	3	29	0117	12	9	
1889	3	30	0117	12	5.5	
1889	3	31	0117	12	10.5	
1889	4	1	0117	12	3.5	
1889	4	2	0117	12	2	
1889	4	3	0117	12	1.35	
1889	4	4	0117	12	0	
1889	4	5	0117	12	1.35	
1889	4	6	0117	12	1.15	
1889	4	7	0117	12	10.3	
1889	4	8	0117	12	0	
1889	4	9	0117	12	0	
1889	4	10	0117	12	1.5	
1889	4	11	0117	12	9.4	
1889	4	12	0117	12	2.25	
1889	4	13	0117	12	0	
1889	4	14	0117	12	8.5	
1889	4	15	0117	12	10.4	
1889	4	16	0117	12	10.5	
1889	4	17	0117	12	10.3	
1889	4	18	0117	12	9.35	
1889	4	19	0117	12	2.55	
1889	4	20	0117	12	1.1	
1889	4	21	0117	12	8.4	
1889	4	22	0117	12	10.5	
1889	4	23	0117	12	9.5	
1889	4	24	0117	12	9.5	
1889	4	25	0117	12	10.2	
1889	4	26	0117	12	10	
1889	4	27	0117	12	9.1	
1889	4	28	0117	12	0	
1889	4	29	0117	12	8.1	
1889	4	30	0117	12	5.1	
1889	5	1	0117	12	5.3	
1889	5	2	0117	12	1.1	
1889	5	3	0117	12	3.25	
1889	5	4	0117	12	2.55	
1889	5	5	0117	12	8.45	
1889	5	6	0117	12	6.45	
1889	5	7	0117	12	1.1	
1889	5	8	0117	12	2.1	
1889	5	9	0117	12	0.1	
1889	5	10	0117	12	4.3	
1889	5	11	0117	12	1.55	
1889	5	12	0117	12	9.25	
1889	5	13	0117	12	8.5	
1889	5	14	0117	12	8.3	
1889	5	15	0117	12	7.55	
1889	5	16	0117	12	5.55	
1889	5	17	0117	12	0.35	
1889	5	18	0117	12	0	
1889	5	19	0117	12	0	
1889	5	20	0117	12	2.45	
1889	5	21	0117	12	7	
1889	5	22	0117	12	8.15	
1889	5	23	0117	12	5.25	
1889	5	24	0117	12	6.3	
1889	5	25	0117	12	3.2	
1889	5	26	0117	12	5.25	
1889	5	27	0117	12	0	
1889	5	28	0117	12	3.4	
1889	5	29	0117	12	6.3	
1889	5	30	0117	12	7.1	
1889	5	31	0117	12	7.2	
1889	6	1	0117	12	7.5	
1889	6	2	0117	12	4.5	
1889	6	3	0117	12	0	
1889	6	4	0117	12	4.5	
1889	6	5	0117	12	8.35	
1889	6	6	0117	12	3.15	
1889	6	7	0117	12	0	
1889	6	8	0117	12	4.1	
1889	6	9	0117	12	0	
1889	6	10	0117	12	0	
1889	6	11	0117	12	2.5	
1889	6	12	0117	12	5	
1889	6	13	0117	12	0	
1889	6	14	0117	12	8.15	
1889	6	15	0117	12	8.5	
1889	6	16	0117	12	8.2	
1889	6	17	0117	12	7.25	
1889	6	18	0117	12	0	
1889	6	19	0117	12	6.25	
1889	6	20	0117	12	3.1	
1889	6	21	0117	12	0.25	
1889	6	22	0117	12	0	
1889	6	23	0117	12	2.1	
1889	6	24	0117	12	7.5	
1889	6	25	0117	12	8	
1889	6	26	0117	12	5.3	
1889	6	27	0117	12	0	
1889	6	28	0117	12	7.4	
1889	6	29	0117	12	0.1	
1889	6	30	0117	12	4.4	
