SEF	0.0.1
ID	Rosario_Santa_Fe
Name	Rosario de Santa Fe
Lat	-32.945
Lon	-60.333
Alt	36
Source	C3S_SouthAmerica
Repo	
Var	Ts
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1894	1	1	1217	0	21.5	
1894	1	2	1217	0	21.6	
1894	1	3	1217	0	21.8	
1894	1	4	1217	0	21.8	
1894	1	6	1217	0	21.8	
1894	1	8	1217	0	22.2	
1894	1	9	1217	0	23	
1894	1	11	1217	0	22.6	
1894	1	12	1217	0	22.8	
1894	1	13	1217	0	22.8	
1894	1	14	1217	0	22.9	
1894	1	15	1217	0	22.8	
1894	1	16	1217	0	22.8	
1894	1	17	1217	0	23	
1894	1	18	1217	0	23	
1894	1	19	1217	0	22.8	
1894	1	20	1217	0	22.8	
1894	1	21	1217	0	22.8	
1894	1	22	1217	0	22.6	
1894	1	23	1217	0	22.6	
1894	1	24	1217	0	22.6	
1894	1	25	1217	0	22.6	
1894	1	26	1217	0	22.8	
1894	1	27	1217	0	23	
1894	1	28	1217	0	23	
1894	1	29	1217	0	22.8	
1894	1	30	1217	0	23	
1894	1	31	1217	0	23.2	
1894	2	1	1217	0	23.1	
1894	2	2	1217	0	23.2	
1894	2	3	1217	0	23.1	
1894	2	4	1217	0	23.2	
1894	2	5	1217	0	23.1	
1894	2	6	1217	0	23.2	
1894	2	7	1217	0	23.7	
1894	2	8	1217	0	23.3	
1894	2	9	1217	0	23.2	
1894	2	10	1217	0	23.2	
1894	2	11	1217	0	23.1	
1894	2	13	1217	0	23	
1894	2	14	1217	0	23	
1894	2	15	1217	0	23.6	
1894	2	16	1217	0	22.8	
1894	2	17	1217	0	22.8	
1894	2	18	1217	0	22.8	
1894	2	19	1217	0	22.8	
1894	2	23	1217	0	22.9	
1894	2	24	1217	0	23	
1894	2	25	1217	0	22.9	
1894	2	27	1217	0	22.9	
1894	2	28	1217	0	22.8	
1894	3	1	1217	0	22.6	
1894	3	2	1217	0	22.6	
1894	3	3	1217	0	22.6	
1894	3	4	1217	0	22.5	
1894	3	5	1217	0	22.3	
1894	3	6	1217	0	22.1	
1894	3	7	1217	0	22.1	
1894	3	8	1217	0	22	
1894	3	9	1217	0	21.8	
1894	3	10	1217	0	21.7	
1894	3	11	1217	0	21.6	
1894	3	12	1217	0	21.4	
1894	3	15	1217	0	21.1	
1894	3	16	1217	0	20.9	
1894	3	17	1217	0	20.8	
1894	3	18	1217	0	20.8	
1894	3	19	1217	0	20.6	
1894	3	20	1217	0	20.4	
1894	3	21	1217	0	20.3	
1894	3	22	1217	0	20.1	
1894	3	23	1217	0	20.1	
1894	3	24	1217	0	20.2	
1894	3	25	1217	0	20.1	
1894	3	26	1217	0	20.1	
1894	3	27	1217	0	20.1	
1894	3	28	1217	0	20.2	
1894	3	29	1217	0	20.1	
1894	3	30	1217	0	20.6	
1894	3	31	1217	0	19.9	
1894	4	1	1217	0	19.8	
1894	4	2	1217	0	19.7	
1894	4	4	1217	0	19.8	
1894	4	5	1217	0	19.7	
1894	4	6	1217	0	19.9	
1894	4	7	1217	0	19.9	
1894	4	8	1217	0	19.9	
1894	4	9	1217	0	19.9	
1894	4	10	1217	0	19.9	
1894	4	11	1217	0	19.9	
1894	4	12	1217	0	19.8	
1894	4	13	1217	0	19.8	
1894	4	14	1217	0	19.6	
1894	4	15	1217	0	19.6	
1894	4	16	1217	0	19.4	
1894	4	17	1217	0	19.2	
1894	4	19	1217	0	19	
1894	4	20	1217	0	18.8	
1894	4	21	1217	0	18.6	
1894	4	22	1217	0	18.5	
1894	4	23	1217	0	18.3	
1894	4	27	1217	0	17.8	
1894	4	28	1217	0	17.8	
1894	4	29	1217	0	17.5	
1894	4	30	1217	0	17.4	
1894	5	1	1217	0	17.3	
1894	5	2	1217	0	17.3	
1894	5	3	1217	0	17.3	
1894	5	4	1217	0	17.2	
1894	5	5	1217	0	17.2	
1894	5	6	1217	0	17.2	
1894	5	7	1217	0	17.1	
1894	5	8	1217	0	17.2	
1894	5	9	1217	0	17.3	
1894	5	10	1217	0	17.4	
1894	5	12	1217	0	17.5	
1894	5	13	1217	0	17.4	
1894	5	14	1217	0	17.3	
1894	5	15	1217	0	17.2	
1894	5	16	1217	0	17.2	
1894	5	17	1217	0	17.1	
1894	5	18	1217	0	17.1	
1894	5	19	1217	0	17	
1894	5	20	1217	0	17	
1894	5	21	1217	0	16.9	
1894	5	22	1217	0	16.9	
1894	5	23	1217	0	16.9	
1894	5	24	1217	0	16.8	
1894	5	25	1217	0	16.7	
1894	5	26	1217	0	16.6	
1894	5	27	1217	0	16.3	
1894	5	28	1217	0	16	
1894	5	29	1217	0	15.8	
1894	5	30	1217	0	15.6	
1894	5	31	1217	0	15.4	
1894	6	2	1217	0	15	
1894	6	3	1217	0	14.8	
1894	6	4	1217	0	14.6	
1894	6	10	1217	0	13.7	
1894	6	11	1217	0	13.5	
1894	6	12	1217	0	13.3	
1894	6	13	1217	0	13.2	
1894	6	14	1217	0	13.1	
1894	6	15	1217	0	12.9	
1894	6	16	1217	0	12.9	
1894	6	17	1217	0	12.8	
1894	6	18	1217	0	12.6	
1894	6	19	1217	0	12.6	
1894	6	20	1217	0	12.4	
1894	6	21	1217	0	12.2	
1894	6	22	1217	0	12.2	
1894	6	23	1217	0	12.1	
1894	6	24	1217	0	12	
1894	6	25	1217	0	12	
1894	6	26	1217	0	11.9	
1894	6	27	1217	0	11.8	
1894	6	28	1217	0	11.8	
1894	6	29	1217	0	11.8	
1894	6	30	1217	0	11.9	
1894	7	1	1217	0	11.9	
1894	7	2	1217	0	12	
1894	7	3	1217	0	12.1	
1894	7	4	1217	0	12.2	
1894	7	5	1217	0	12.3	
1894	7	6	1217	0	12.5	
1894	7	9	1217	0	12.8	
1894	7	10	1217	0	94	
1894	7	11	1217	0	12.6	
1894	7	12	1217	0	12.5	
1894	7	13	1217	0	12.4	
1894	7	14	1217	0	12.3	
1894	7	15	1217	0	12.1	
1894	7	16	1217	0	12	
1894	7	17	1217	0	11.9	
1894	7	18	1217	0	11.8	
1894	7	19	1217	0	11.8	
1894	7	20	1217	0	11.8	
1894	7	21	1217	0	11.8	
1894	7	22	1217	0	11.8	
1894	7	23	1217	0	11.8	
1894	7	24	1217	0	11.8	
1894	7	25	1217	0	11.9	
1894	7	26	1217	0	11.9	
1894	7	27	1217	0	11.9	
1894	7	28	1217	0	11.9	
1894	7	29	1217	0	11.9	
1894	7	30	1217	0	11.8	
1894	7	31	1217	0	11.9	
1894	8	1	1217	0	11.5	
1894	8	2	1217	0	11.3	
1894	8	3	1217	0	11.2	
1894	8	4	1217	0	11.2	
1894	8	5	1217	0	11.2	
1894	8	6	1217	0	11.2	
1894	8	7	1217	0	11.1	
1894	8	8	1217	0	11.1	
1894	8	9	1217	0	11.2	
1894	8	10	1217	0	11.2	
1894	8	11	1217	0	11.3	
1894	8	12	1217	0	11.3	
1894	8	13	1217	0	11.4	
1894	8	14	1217	0	11.5	
1894	8	15	1217	0	11.6	
1894	8	16	1217	0	11.6	
1894	8	19	1217	0	11.9	
1894	8	20	1217	0	12	
1894	8	21	1217	0	12	
1894	8	22	1217	0	12	
1894	8	23	1217	0	12	
1894	8	24	1217	0	12	
1894	8	25	1217	0	12	
1894	8	26	1217	0	12	
1894	8	27	1217	0	12	
1894	8	28	1217	0	12	
1894	8	29	1217	0	12	
1894	8	30	1217	0	12	
1894	8	31	1217	0	12	
1894	9	1	1217	0	12	
1894	9	2	1217	0	12	
1894	9	3	1217	0	12.1	
1894	9	4	1217	0	12.1	
1894	9	5	1217	0	12.1	
1894	9	6	1217	0	12.2	
1894	9	7	1217	0	12.2	
1894	9	8	1217	0	12.2	
1894	9	9	1217	0	12.2	
1894	9	10	1217	0	12.3	
1894	9	11	1217	0	12.3	
1894	9	12	1217	0	12.3	
1894	9	22	1217	0	12.8	
1894	9	23	1217	0	12.8	
1894	9	24	1217	0	12.8	
1894	9	25	1217	0	12.8	
1894	9	26	1217	0	12.8	
1894	9	27	1217	0	12.8	
1894	9	28	1217	0	12.9	
1894	9	29	1217	0	12	
1894	9	30	1217	0	13	
1894	10	1	1217	0	13.2	
1894	10	2	1217	0	13.5	
1894	10	3	1217	0	13.7	
1894	10	4	1217	0	13.9	
1894	10	5	1217	0	14.1	
1894	10	6	1217	0	14.3	
1894	10	8	1217	0	14.6	
1894	10	9	1217	0	14.7	
1894	10	10	1217	0	14.8	
1894	10	11	1217	0	14.9	
1894	10	12	1217	0	14.9	
1894	10	13	1217	0	14.9	
1894	10	14	1217	0	14.9	
1894	10	15	1217	0	15	
1894	10	16	1217	0	15	
1894	10	17	1217	0	15	
1894	10	20	1217	0	15.1	
1894	10	21	1217	0	15.1	
1894	10	22	1217	0	15.2	
1894	10	23	1217	0	15.2	
1894	10	24	1217	0	15.2	
1894	10	25	1217	0	15.2	
1894	10	26	1217	0	15.2	
1894	10	27	1217	0	15.3	
1894	10	29	1217	0	15.3	
1894	10	30	1217	0	15.3	
1894	10	31	1217	0	15.3	
1894	11	2	1217	0	15.4	
1894	11	3	1217	0	15.4	
1894	11	4	1217	0	15.4	
1894	11	5	1217	0	15.4	
1894	11	6	1217	0	15.5	
1894	11	9	1217	0	15.8	
1894	11	10	1217	0	15.9	
1894	11	12	1217	0	16	
1894	11	13	1217	0	16	
1894	11	14	1217	0	16.1	
1894	11	15	1217	0	16.2	
1894	11	16	1217	0	16.2	
1894	11	18	1217	0	16.5	
1894	11	19	1217	0	16.6	
1894	11	21	1217	0	16.8	
1894	11	24	1217	0	17.2	
1894	11	25	1217	0	35.6	
1894	11	26	1217	0	17.6	
1894	11	27	1217	0	17.9	
1894	11	28	1217	0	18	
1894	11	30	1217	0	18.2	
1894	12	2	1217	0	18	
1894	12	3	1217	0	18.1	
1894	12	4	1217	0	18.1	
1894	12	8	1217	0	18.5	
1894	12	10	1217	0	18.7	
1894	12	11	1217	0	18.8	
1894	12	12	1217	0	18.8	
1894	12	14	1217	0	19.1	
1894	12	15	1217	0	19.1	
1894	12	16	1217	0	19.1	
1894	12	17	1217	0	19.2	
1894	12	19	1217	0	19.4	
1894	12	20	1217	0	19.5	
1894	12	21	1217	0	19.6	
1894	12	22	1217	0	19.8	
1894	12	24	1217	0	20	
1894	12	25	1217	0	20.2	
1894	12	26	1217	0	20.4	
1894	12	29	1217	0	20.8	
1894	12	31	1217	0	21	
1895	1	1	1217	0	21	
1895	1	2	1217	0	21.1	
1895	1	3	1217	0	31.1	
1895	1	6	1217	0	21.1	
1895	1	7	1217	0	21.6	
1895	1	8	1217	0	21.2	
1895	1	9	1217	0	21.2	
1895	1	10	1217	0	21.2	
1895	1	11	1217	0	21.2	
1895	1	12	1217	0	21.3	
1895	1	13	1217	0	21.3	
1895	1	14	1217	0	21.7	
1895	1	15	1217	0	21.4	
1895	1	16	1217	0	21.5	
1895	1	17	1217	0	21.5	
1895	1	18	1217	0	21.5	
1895	1	19	1217	0	21.4	
1895	1	20	1217	0	21.4	
1895	1	21	1217	0	21.6	
1895	1	23	1217	0	21.7	
1895	1	24	1217	0	21.8	
1895	1	25	1217	0	21.7	
1895	1	26	1217	0	21.8	
1895	1	28	1217	0	21.8	
1895	1	29	1217	0	21.8	
1895	1	30	1217	0	21.8	
1895	1	31	1217	0	21.8	
1895	2	1	1217	0	21.8	
1895	2	2	1217	0	21.9	
1895	2	3	1217	0	21.9	
1895	2	4	1217	0	22	
1895	2	5	1217	0	22	
1895	2	6	1217	0	22.1	
1895	2	7	1217	0	22.3	
1895	2	8	1217	0	22.3	
1895	2	9	1217	0	22.3	
1895	2	12	1217	0	22.4	
1895	2	13	1217	0	22.3	
1895	2	14	1217	0	22.3	
1895	2	15	1217	0	22.4	
1895	2	16	1217	0	22.3	
1895	2	17	1217	0	22.2	
1895	2	18	1217	0	22.1	
1895	2	19	1217	0	22.1	
1895	2	20	1217	0	22	
