"ID";"Project title";"Collection_name";"Original Country/Region";"Original City/Town/Village";"Station Name";"Platform";"Altitude_masl";"Original Latitude Units";"Original Longitude Units";"Original Altitude Units";"Local Gravity";"Last modified";"Original Location/Relocation";"Start Station Year/Month/Day";"End Station Year/Month/Day";"Start Record Year/Month/Day";"End Record Year/Month/Day";"WMO Region";"Latitude_DegN";"Longitude_DegE";"Current Station Name";"WMO ID";"Network1_name";"Network1_ID";"Network2_name";"Network2_ID";"Country/Region";"City/Town/Village";"Time_resolution";"Observation times";"Time Reference Meridian, or other";"Estimated Station Days";"Time Gaps";"Variable name";"Units";"Original Units";"Variable Instrument";"Corrections/Conversions";"Observation Changes";"Type of Access";"Data Owner";"Data Owner Link/Contact";"Source";"Type of Initial source";"Source Link (Images)";"Data Provider";"Data Provider (Link/contact)";"Data series in published databank citation";"State of Data Rescue";"Comments";"Project Status"
"1084825";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"9 de Julio";"";"";"";"";"";"";"2019-01-28 23:41:54.065153+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-35.443901";"-60.884602";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084837";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Abra Pampa";"";"";"";"";"";"";"2019-01-28 23:41:54.121187+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-22.7227";"-65.696999";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084849";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Andalgalá";"";"";"";"";"";"";"2019-01-28 23:41:54.175131+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-27.6";"-66.316666";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084861";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Arias";"";"";"";"";"";"";"2019-01-28 23:41:54.234706+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-33.633331";"-62.416668";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084873";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Arroyitos";"";"";"";"";"";"";"2019-01-28 23:41:54.289477+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-31.419201";"-63.0509";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084885";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Bahia Blanca";"";"";"";"";"";"";"2019-01-28 23:41:54.342617+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-38.725151";"-62.254951";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084897";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Balcarce";"";"";"";"";"";"";"2019-01-28 23:41:54.398480+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-37.847019";"-58.25407";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084909";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Bernasconi";"";"";"";"";"";"";"2019-01-28 23:41:54.453192+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-37.90406";"-63.738682";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084921";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"B. Mitre";"";"";"";"";"";"";"2019-01-28 23:41:54.508583+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-27.383301";"-55.883301";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
"1084933";"C3S DRS/ACRE Argentina";"DWR C3S DRS/ACRE Argentina";"Argentina";"";"Bolivar";"";"";"";"";"";"";"2019-01-28 23:41:54.562255+00:00";"";"";"";"1902-02-21";"1902-12-31";"South America";"-36.2383";"-61.233601";"";"";"";"";"";"";"Argentina";"";"daily";"2 p.m. until 31 of August; 7 a.m. from 2 of September";"Local Time";"";"";"cloud_cover";"NA";"";"";"";"";"Public";"Universidad Tecnológica Nacional (Buenos Aires)";"Pablo O. Canziani, pocanziani@gmail.com";"Argentine Daily Weather Reports 1902";"Printed";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"Philip Brohan (philip.brohan@metoffice.gov.uk)";"http://data.ceda.ac.uk/badc/corral/images/metobs/south_america/Argentina/";"";"Imaged, Digitised";"Missing days: 11., 17., 18., 20., 28., 29. March 1., 11., 15., 17., 18., 21., 22., 23., 25., 28., 30. April 1., 2., 5., 7., 9.-15. May 3., 22. July 1., 9. Sept 4., 6. Oct";"active"
