CODE	LON	LAT	ALT	START	END
DWR_Jujuy-Cap.  -24.183333	-65.3	          NA	1902	1902
DWR_Salta-La_Mcd	-24.9667	-65.4895	       NA	1902	1902
DWR_Tucman-Captl	-26.816667	-65.216667	     NA	1902	1902
DWR_La_Cocha	-27.77	-65.585833	     NA	1902	1902
DWR_Concep.-Tuc.	-27.3459	-65.5927	       NA	1902	1902
DWR_Concep.-Mis.	-27.9806	-55.5217	       NA	1902	1902
DWR_Catamarca-Cp	-28.466667	-65.783333	     NA	1902	1902
DWR_Andalgala	-27.6	-66.316667	     NA	1902	1902
DWR_Santa_Maria	-26.683333	-66.033333	     NA	1902	1902
DWR_San_Martin	-33.083	-68.47	         NA	1902	1902
DWR_Rioja-Cap.	-29.4125	-66.854167	     NA	1902	1902
DWR_Chilecito	-29.166667	-67.5	          NA	1902	1902
DWR_San_Juan-Cp.	-31.534167	-68.526111	     NA	1902	1902
DWR_Mendoza-Cap.	-32.883333	-68.816667	     NA	1902	1902
DWR_San_Luis	-33.3	-66.333333	     NA	1902	1902
DWR_Villa_Mrced.	-33.666667	-65.466667	     NA	1902	1902
DWR_Cordoba-Cap.	-31.416667	-64.183333	     NA	1902	1902
DWR_Dique_Sn_Rq	-31.378056	-64.469444	     NA	1902	1902
DWR_San_Jorge	-32.3	-66.6	          NA	1902	1902
DWR_Villa_Maria	-34.88247	-60.34444	      NA	1902	1902
DWR_Rio_Cuarto	-33.142971	-64.329277	     NA	1902	1902
DWR_La_Carlota	-33.417936	-63.293495	     NA	1902	1902
DWR_La_Cautiva	-33.97993	-64.08282	      NA	1902	1902
DWR_Canada_Verde	-34.8363	-64.5833	       NA	1902	1902
DWR_Arias	-33.633333	-62.416667	     NA	1902	1902
DWR_Santa_Fa-Cp.	-31.610659	-60.697292	     NA	1902	1902
DWR_Esperanza	-26.19614	-64.239014	     NA	1902	1902
DWR_Carcarana	-32.85744	-61.15189	      NA	1902	1902
DWR_Rosario	-32.95924	-60.683479	     NA	1902	1902
DWR_Corrientes-C	-27.501921	-58.812889	     NA	1902	1902
DWR_San_Lorenzo	-32.74582	-60.73433	      NA	1902	1902
DWR_Goya	-29.15477	-59.264938	     NA	1902	1902
DWR_Esquina	-30.018749	-59.524052	     NA	1902	1902
DWR_Curuzu-Cuat.	-29.7868	-58.08739	      NA	1902	1902
DWR_Paso_Libres	-29.71423	-57.08752	      NA	1902	1902
DWR_Delicias_ER	-31.9333	-60.4167	       NA	1902	1902
DWR_Pueblo_Brugo	-31.38794	-60.092	        NA	1902	1902
DWR_Villaguay	-31.86728	-59.02684	      NA	1902	1902
DWR_Gualeguay	-33.14972	-59.31069	      NA	1902	1902
DWR_Capital_Fed.	-34.60903	-58.37322	      NA	1902	1902
DWR_Junin_BA	-34.5885	-60.9496	       NA	1902	1902
DWR_San_Nicolas	-33.33037	-60.21449	      NA	1902	1902
DWR_Estc_Pereyra	-34.8364	-58.0946	       NA	1902	1902
DWR_Balcarce	-37.84702	-58.25407	      NA	1902	1902
DWR_Bahia_Blanca	-38.725151	-62.254951	     NA	1902	1902
DWR_Puerto_Mili.	-38.886944	-62.097778	     NA	1902	1902
DWR_Patagones	-40.79547	-62.96865	      NA	1902	1902
DWR_Acha_Pampa	-37.37311	-64.59974	      NA	1902	1902
DWR_Bernasconi	-37.90406	-63.73868	      NA	1902	1902
DWR_Roca_Rio_N.	-41.030556	-62.789722	     NA	1902	1902
DWR_San_Antonio	-40.73	-64.95	        NA	1902	1902
DWR_Sierra_Grnde	-41.60447	-65.35436	      NA	1902	1902
DWR_Chubut-Mdryn	-42.77151	-65.04027	      NA	1902	1902
DWR_Dos_Pozos	-44.5047	-65.6836	       NA	1902	1902
DWR_Cabo_Raso	-44.3372	-65.2492	       NA	1902	1902
DWR_Camarones	-44.79332	-65.710808	     NA	1902	1902
