SEF	1.0.0
ID	Maatsuyker
Name	Maatsuyker Lighthouse
Lat	-43.656952
Lon	146.271518
Alt	120
Source	C3S_SouthPacific
Link	https://data-rescue.copernicus-climate.eu/lso/1086324
Vbl	p
Stat	point
Units	hPa
Meta	Data policy=GNU GPL v3.0|PTC=?|PGC=Y
Year	Month	Day	Hour	Minute	Period	Value	Meta
1918	4	9	20	0	0	998.1	Orig=29.48in|orig.time=0600
1918	4	10	2	0	0	998.1	Orig=29.48in|orig.time=1200
1918	4	10	8	0	0	997.1	Orig=29.45in|orig.time=1800
1918	4	10	14	0	0	997.8	Orig=29.47in|orig.time=0000
1918	4	10	20	0	0	998.1	Orig=29.48in|orig.time=0600
1918	4	11	2	0	0	997.8	Orig=29.47in|orig.time=1200
1918	4	11	8	0	0	997.1	Orig=29.45in|orig.time=1800
1918	4	11	14	0	0	996.7	Orig=29.44in|orig.time=0000
1918	4	11	20	0	0	996.4	Orig=29.43in|orig.time=0600
1918	4	12	2	0	0	994.7	Orig=29.38in|orig.time=1200
1918	4	12	8	0	0	993.7	Orig=29.35in|orig.time=1800
1918	4	12	14	0	0	993	Orig=29.33in|orig.time=0000
1918	4	12	20	0	0	992.3	Orig=29.31in|orig.time=0600
1918	4	13	2	0	0	991.7	Orig=29.29in|orig.time=1200
1918	4	13	8	0	0	992.3	Orig=29.31in|orig.time=1800
1918	4	13	14	0	0	994.4	Orig=29.37in|orig.time=0000
1918	4	13	20	0	0	995.1	Orig=29.39in|orig.time=0600
1918	4	14	2	0	0	994.4	Orig=29.37in|orig.time=1200
1918	4	14	8	0	0	994	Orig=29.36in|orig.time=1800
1918	4	14	14	0	0	992	Orig=29.3in|orig.time=0000
1918	4	14	19	0	0	992.3	Orig=29.31in|orig.time=0600
1918	4	15	1	0	0	990.3	Orig=29.25in|orig.time=1200
1918	4	15	8	0	0	989	Orig=29.21in|orig.time=1800
1918	4	15	14	0	0	987.9	Orig=29.18in|orig.time=0000
1918	4	15	20	0	0	985.9	Orig=29.12in|orig.time=0600
1918	4	16	2	0	0	983.9	Orig=29.06in|orig.time=1200
1918	4	16	8	0	0	982.5	Orig=29.02in|orig.time=1800
1918	4	16	14	0	0	984.9	Orig=29.09in|orig.time=0000
1918	4	16	20	0	0	984.9	Orig=29.09in|orig.time=0600
1918	4	17	2	0	0	985.9	Orig=29.12in|orig.time=1200
1918	4	17	8	0	0	986.6	Orig=29.14in|orig.time=1800
1918	4	17	14	0	0	989.3	Orig=29.22in|orig.time=0000
1918	4	17	20	0	0	994	Orig=29.36in|orig.time=0600
1918	4	18	2	0	0	994.7	Orig=29.38in|orig.time=1200
1918	4	18	8	0	0	996.4	Orig=29.43in|orig.time=1800
1918	4	18	14	0	0	998.4	Orig=29.49in|orig.time=0000
1918	4	18	20	0	0	1001.5	Orig=29.58in|orig.time=0600
1918	4	19	2	0	0	1001.8	Orig=29.59in|orig.time=1200
1918	4	19	8	0	0	1002.5	Orig=29.61in|orig.time=1800
1918	4	19	14	0	0	1004.2	Orig=29.66in|orig.time=0000
1918	4	19	20	0	0	1004.9	Orig=29.68in|orig.time=0600
1918	4	20	2	0	0	984.6	Orig=29.08in|orig.time=1200
1918	4	20	8	0	0	1003.9	Orig=29.65in|orig.time=1800
1918	4	20	14	0	0	1003.9	Orig=29.65in|orig.time=0000
1918	4	20	20	0	0	1003.9	Orig=29.65in|orig.time=0600
1918	4	21	2	0	0	1004.2	Orig=29.66in|orig.time=1200
1918	4	21	8	0	0	1003.2	Orig=29.63in|orig.time=1800
1918	4	21	14	0	0	1002.5	Orig=29.61in|orig.time=0000
1918	4	21	20	0	0	1001.5	Orig=29.58in|orig.time=0600
1918	4	22	2	0	0	1000.1	Orig=29.54in|orig.time=1200
1918	4	22	8	0	0	999.1	Orig=29.51in|orig.time=1800
1918	4	22	14	0	0	998.4	Orig=29.49in|orig.time=0000
1918	4	22	20	0	0	995.4	Orig=29.4in|orig.time=0600
1918	4	23	2	0	0	996.1	Orig=29.42in|orig.time=1200
1918	4	23	8	0	0	995.1	Orig=29.39in|orig.time=1800
1918	4	23	14	0	0	993.7	Orig=29.35in|orig.time=0000
1918	4	23	20	0	0	992.3	Orig=29.31in|orig.time=0600
1918	4	24	2	0	0	991	Orig=29.27in|orig.time=1200
1918	4	24	8	0	0	989.6	Orig=29.23in|orig.time=1800
1918	4	24	14	0	0	989	Orig=29.21in|orig.time=0000
1918	4	24	20	0	0	986.9	Orig=29.15in|orig.time=0600
1918	4	25	2	0	0	985.2	Orig=29.1in|orig.time=1200
1918	4	25	8	0	0	982.9	Orig=29.03in|orig.time=1800
1918	4	25	14	0	0	981.8	Orig=29in|orig.time=0000
1918	4	25	20	0	0	977.8	Orig=28.88in|orig.time=0600
1918	4	26	2	0	0	977.8	Orig=28.88in|orig.time=1200
1918	4	26	8	0	0	976.1	Orig=28.83in|orig.time=1800
1918	4	26	14	0	0	975.4	Orig=28.81in|orig.time=0000
