SEF	0.0.1
ID	Maatsuyker
Name	Maatsuyker Lighthouse
Lat	-43.656952
Lon	146.271518
Alt	120
Source	C3S_SouthPacific
Repo	
Var	ta
Units	C
Meta	
Year	Month	Day	HHMM	TimeF	Value	Meta
1918	4	9	2000	0	11.1	Orig=52F
1918	4	10	0200	0	11.7	Orig=53F
1918	4	10	0800	0	12.2	Orig=54F
1918	4	10	1400	0	11.7	Orig=53F
1918	4	10	2000	0	11.7	Orig=53F
1918	4	11	0200	0	12.8	Orig=55F
1918	4	11	0800	0	12.8	Orig=55F
1918	4	11	1400	0	12.8	Orig=55F
1918	4	11	2000	0	12.2	Orig=54F
1918	4	12	0200	0	13.3	Orig=56F
1918	4	12	0800	0	13.3	Orig=56F
1918	4	12	1400	0	13.3	Orig=56F
1918	4	12	2000	0	13.3	Orig=56F
1918	4	13	0200	0	14.4	Orig=58F
1918	4	13	0800	0	13.9	Orig=57F
1918	4	13	1400	0	12.8	Orig=55F
1918	4	13	2000	0	12.2	Orig=54F
1918	4	14	0200	0	12.8	Orig=55F
1918	4	14	0800	0	12.2	Orig=54F
1918	4	14	1400	0	11.7	Orig=53F
1918	4	14	1900	0	11.7	Orig=53F
1918	4	15	0100	0	12.2	Orig=54F
1918	4	15	0800	0	11.7	Orig=53F
1918	4	15	1400	0	11.7	Orig=53F
1918	4	15	2000	0	11.7	Orig=53F
1918	4	16	0200	0	12.2	Orig=54F
1918	4	16	0800	0	12.2	Orig=54F
1918	4	16	1400	0	11.7	Orig=53F
1918	4	16	2000	0	11.7	Orig=53F
1918	4	17	0200	0	11.7	Orig=53F
1918	4	17	0800	0	11.1	Orig=52F
1918	4	17	1400	0	10.6	Orig=51F
1918	4	17	2000	0	10	Orig=50F
1918	4	18	0200	0	10.6	Orig=51F
1918	4	18	0800	0	10.6	Orig=51F
1918	4	18	1400	0	10.6	Orig=51F
1918	4	18	2000	0	10	Orig=50F
1918	4	19	0200	0	11.1	Orig=52F
1918	4	19	0800	0	11.1	Orig=52F
1918	4	19	1400	0	10.6	Orig=51F
1918	4	19	2000	0	10.6	Orig=51F
1918	4	20	0200	0	11.1	Orig=52F
1918	4	20	0800	0	11.1	Orig=52F
1918	4	20	1400	0	10.6	Orig=51F
1918	4	20	2000	0	10.6	Orig=51F
1918	4	21	0200	0	11.1	Orig=52F
1918	4	21	0800	0	11.7	Orig=53F
1918	4	21	1400	0	11.1	Orig=52F
1918	4	21	2000	0	10.6	Orig=51F
1918	4	22	0200	0	11.1	Orig=52F
1918	4	22	0800	0	11.7	Orig=53F
1918	4	22	1400	0	11.1	Orig=52F
1918	4	22	2000	0	10.6	Orig=51F
1918	4	23	0200	0	11.1	Orig=52F
1918	4	23	0800	0	12.8	Orig=55F
1918	4	23	1400	0	12.2	Orig=54F
1918	4	23	2000	0	12.8	Orig=55F
1918	4	24	0200	0	13.3	Orig=56F
1918	4	24	0800	0	13.9	Orig=57F
1918	4	24	1400	0	13.3	Orig=56F
1918	4	24	2000	0	13.3	Orig=56F
1918	4	25	0200	0	14.4	Orig=58F
1918	4	25	0800	0	14.4	Orig=58F
1918	4	25	1400	0	13.9	Orig=57F
1918	4	25	2000	0	13.9	Orig=57F
1918	4	26	0200	0	14.4	Orig=58F
1918	4	26	0800	0	14.4	Orig=58F
1918	4	26	1400	0	13.9	Orig=57F
1918	4	26	2000	0	13.3	Orig=56F
1918	4	27	0200	0	12.8	Orig=55F
1918	4	27	0800	0	12.2	Orig=54F
1918	4	27	1400	0	11.7	Orig=53F
1918	4	27	2000	0	12.2	Orig=54F
1918	4	28	0200	0	12.2	Orig=54F
1918	4	28	0800	0	11.7	Orig=53F
1918	4	28	1400	0	-5	Orig=23F
1918	4	28	2000	0	11.1	Orig=52F
1918	4	29	0200	0	11.7	Orig=53F
1918	4	29	0800	0	11.7	Orig=53F
1918	4	29	1400	0	12.2	Orig=54F
1918	4	29	2000	0	12.2	Orig=54F
1918	4	30	0200	0	12.8	Orig=55F
1918	4	30	0800	0	12.8	Orig=55F
1918	4	30	1400	0	12.2	Orig=54F
1918	4	30	2000	0	11.7	Orig=53F
1918	5	1	0200	0	13.3	Orig=56F
1918	5	1	0800	0	13.3	Orig=56F
1918	5	1	1400	0	12.8	Orig=55F
1918	5	1	2000	0	12.8	Orig=55F
1918	5	2	0200	0	13.9	Orig=57F
1918	5	2	0800	0	13.9	Orig=57F
1918	5	2	1400	0	13.3	Orig=56F
1918	5	2	2000	0	12.8	Orig=55F
1918	5	3	0200	0	12.8	Orig=55F
1918	5	3	0800	0	12.2	Orig=54F
1918	5	3	1400	0	10.6	Orig=51F
1918	5	3	2000	0	10	Orig=50F
1918	5	4	0200	0	10	Orig=50F
1918	5	4	0800	0	9.4	Orig=49F
1918	5	4	1400	0	8.9	Orig=48F
1918	5	4	2000	0	9.4	Orig=49F
1918	5	5	0200	0	11.1	Orig=52F
1918	5	5	0800	0	12.2	Orig=54F
1918	5	5	1400	0	12.2	Orig=54F
1918	5	5	2000	0	13.3	Orig=56F
1918	5	6	0200	0	11.7	Orig=53F
1918	5	6	0800	0	12.2	Orig=54F
1918	5	6	1400	0	10	Orig=50F
1918	5	6	2000	0	10.6	Orig=51F
1918	5	7	0200	0	12.8	Orig=55F
1918	5	7	0800	0	13.3	Orig=56F
1918	5	7	1400	0	13.3	Orig=56F
1918	5	7	2000	0	13.9	Orig=57F
1918	5	8	0200	0	15	Orig=59F
1918	5	8	0800	0	15	Orig=59F
1918	5	8	1400	0	13.9	Orig=57F
1918	5	8	2000	0	13.9	Orig=57F
1918	5	9	0200	0	16.7	Orig=62F
1918	5	9	0800	0	16.7	Orig=62F
